	PCA_X	PCA_Y	tsne_X	tsne_Y	fittsne_X	fittsne_Y	umap_X	umap_Y	nbtsne_X	nbtsne_Y
O159	46.21852244865736	15.47796305386963	-179.24105834960938	53.6325798034668	-12.463321303279681	4.092003508602918	6.046650409698486	6.053630352020264	-229.694	59.34124
O160	2.052932715611472	-22.5084395479612	-9.045211791992188	109.66028594970703	0.22091462123655417	3.2789612214464183	3.6281991004943848	7.0019073486328125	-96.6679	-83.23375
O162	-7.109526686648759	16.38469219765698	31.413837432861328	-112.8220443725586	9.939903453572514	-10.542160996959598	3.623427629470825	8.288077354431152	-76.05653000000001	-65.979
O164	-17.08506981709626	-1.5107566926290175	80.6884536743164	75.165283203125	5.541970433076278	-9.505069095926933	3.344517230987549	8.780034065246582	-75.76246	-2.185045
O165	-7.65181318616323	10.395303109608225	-59.149658203125	-94.06814575195312	8.065493636651338	6.6212654029592635	5.5586371421813965	7.545370578765869	3.187505	-143.9648
O171	34.63611694108352	-26.330737855765577	-103.77388000488281	106.30213165283203	-4.73176775553337	7.663627837529381	4.240301132202148	5.595098972320557	7.9866779999999995	-71.0081
O204	-27.18780280531931	1.6694207447597795	26.529069900512695	-43.611656188964844	10.012298169863447	-3.9817814548763533	3.9796571731567383	8.830286026000977	122.5299	56.15181
O205	-32.08747068171724	-1.3594880948805559	39.295833587646484	-35.760231018066406	9.597695065469917	-3.8483894420426235	4.386653423309326	9.17968463897705	118.8356	88.4418
O210	15.263465864632751	-29.403038639303656	-80.50325775146484	108.4278793334961	-3.3538794441188546	6.88053357351598	4.282520771026611	5.786870002746582	81.09085999999999	-55.999030000000005
O216	-38.836637742587776	-21.022338229304527	16.235246658325195	-9.227720260620117	8.947168580091057	-0.8523764665377477	2.7394700050354004	7.5660223960876465	145.1039	63.96986999999999
O222	-21.51631022896225	3.414051280498478	48.809043884277344	62.14955139160156	5.337123594404177	-3.0426122553585673	3.0025854110717773	8.563962936401367	-34.87445	-91.89064
O240	54.79344505402673	18.13068510934806	-178.46240234375	35.749664306640625	-11.533801013594742	3.8431320371818916	6.086127758026123	5.942239284515381	-208.5774	23.70068
O242	-14.528849699424203	-26.289886209074147	-36.8027229309082	42.4927978515625	3.6737980398461394	6.5977297048549834	3.976128101348877	7.086337566375732	101.5336	28.378220000000002
O243	-30.18700305013249	-7.482117118995213	-16.39503288269043	-30.07354736328125	7.555597852960767	0.9988178136027961	2.665978193283081	8.36353588104248	-10.84155	-46.778929999999995
O248	18.08305970833833	-46.3720899228298	-75.94534301757812	93.19149780273438	-2.8693775290898396	7.7977392894477795	4.292545318603516	6.136037349700928	144.0604	37.8313
O250	-29.36506059579661	-21.24679888714628	21.97770881652832	29.07356071472168	4.729077546958046	0.5628835919919409	3.283921957015991	7.432577133178711	109.1608	-72.39643000000001
O255	-11.393245478000615	2.227251824486536	70.76158142089844	44.06649398803711	3.325539390951741	-4.307208593038328	3.978022575378418	8.273506164550781	-29.70825	-32.066359999999996
O284	-34.7156846980915	-16.467949753852782	20.989839553833008	13.015575408935547	5.4745176712545085	0.8404251776089805	3.026099920272827	7.575839519500732	121.8577	-86.17899
O285	-21.981815412309814	2.9325675443261363	46.471473693847656	-53.18159484863281	8.375451054163468	-3.766705278727513	4.002142906188965	9.12761402130127	109.8825	72.5468
O286	-0.780847396502414	-26.70362221545261	-51.470489501953125	61.21613311767578	0.6226372463874019	6.8859981222908	4.177578449249268	6.669297695159912	146.8525	85.14652
O287	37.47610427337513	-13.882749324126346	-57.313140869140625	122.44245910644531	-5.2871122065474525	10.004766141569172	4.54204797744751	5.926952362060547	-197.6126	35.85439
O290	-34.60749415133804	-14.175979835788763	24.22918128967285	52.553096771240234	4.814477802708902	-1.3886301291532628	2.658348798751831	8.062445640563965	-19.216520000000003	-69.39109
O292	-9.210205898878058	-21.248070751885265	-6.185141086578369	34.81325149536133	3.706172220204183	3.1225449189185324	3.2806901931762695	7.0927653312683105	120.9633	30.385890000000003
O296	-26.639605999249596	3.284151200063334	-70.39203643798828	-40.96702575683594	3.0821705995261777	-0.8014221401439352	2.5077178478240967	8.18073844909668	-121.4272	-0.01649024
O297	-32.91649004143476	-12.395454145501704	43.25197219848633	36.91465759277344	3.9136972053155716	-2.1336420836666603	3.1558046340942383	8.566973686218262	58.37688000000001	-52.48296
O299	-25.07657833890469	-5.198114353790041	-27.99504280090332	-54.2551383972168	10.247760123557606	3.6612445319968807	2.975003480911255	8.252887725830078	56.72448000000001	112.2767
O301	-5.233844162612071	27.828422317491977	40.36347961425781	-169.5869903564453	-2.6478430819910224	-6.842387575024604	4.97968053817749	8.13700008392334	-34.52568	-117.7584
