status	family	pval	qval	gene_short_name	num_cells_expressed	use_for_ordering
4930447C04Rik	OK	negbinomial.size	0.0693378211921996	0.525717086908071	4930447C04Rik	28	FALSE
4930451G09Rik	OK	negbinomial.size	0.333386004458535	0.889330321314698	4930451G09Rik	7	FALSE
4930452B06Rik	OK	negbinomial.size	0.24495277389812	0.817392914342573	4930452B06Rik	18	FALSE
4930453N24Rik	OK	negbinomial.size	0.0424044687853631	0.391203847946386	4930453N24Rik	33	FALSE
4930465K10Rik	OK	negbinomial.size	0.776805991636448	0.999999999737279	4930465K10Rik	10	FALSE
4930474N05Rik	OK	negbinomial.size	0.680412577490074	0.998538676306326	4930474N05Rik	19	FALSE
4930503L19Rik	OK	negbinomial.size	0.960051970969978	0.999999999737279	4930503L19Rik	18	FALSE
4930512M02Rik	OK	negbinomial.size	0.834052809777114	0.999999999737279	4930512M02Rik	21	FALSE
4930516K23Rik	OK	negbinomial.size	0.404964241349129	0.922337302810107	4930516K23Rik	18	FALSE
4930519F16Rik	OK	negbinomial.size	0.725521544337577	0.999999999737279	4930519F16Rik	12	FALSE
4930519G04Rik	OK	negbinomial.size	0.103964657200331	0.615207130214135	4930519G04Rik	18	FALSE
4930522L14Rik	OK	negbinomial.size	0.914010269197833	0.999999999737279	4930522L14Rik	23	FALSE
4930526A20Rik	OK	negbinomial.size	0.221680503280022	0.797027575884069	4930526A20Rik	19	FALSE
4930529C04Rik	OK	negbinomial.size	0.488943030826072	0.957488162126501	4930529C04Rik	17	FALSE
4930539E08Rik	OK	negbinomial.size	0.0136330032350759	0.200569957835905	4930539E08Rik	21	FALSE
4930548H24Rik	OK	negbinomial.size	0.446562394979751	0.940418313189349	4930548H24Rik	25	FALSE
4930578G10Rik	OK	negbinomial.size	0.148843230921957	0.700780396688888	4930578G10Rik	12	FALSE
4930579G24Rik	OK	negbinomial.size	0.122684140360615	0.648196488777539	4930579G24Rik	18	FALSE
4930590J08Rik	OK	negbinomial.size	0.00151083608278994	0.0409795683071568	4930590J08Rik	21	FALSE
4931406B18Rik	OK	negbinomial.size	0.762896217378377	0.999999999737279	4931406B18Rik	34	FALSE
