	PCA_X	PCA_Y	tsne_X	tsne_Y	fittsne_X	fittsne_Y	umap_X	umap_Y
O286	1.0812527492964485	0.298238549709513	31.541311264038086	-50.45810317993164	6.343587014969303	-4.163886398112314	-3.106553316116333	-0.2126360684633255
O287	-1.0314352784556018	3.9397818306581986	2.69650936126709	155.137451171875	6.479326023340145	12.722480904813768	-3.777341842651367	-2.715919256210327
O290	0.4276675302272651	-0.650984739947933	49.351226806640625	-44.83982467651367	4.490975409892355	-5.091228652883172	-2.780033826828003	0.11257926374673843
O292	-0.4152571128979181	-1.14534043805176	44.78792190551758	-24.894073486328125	6.000402067016648	-6.836884967068615	-3.0829949378967285	0.2377428114414215
O296	2.652546676414497	-0.8855235824338676	68.30656433105469	-39.513755798339844	3.1232240300622154	-7.423886220778568	-2.330371618270874	0.4441709816455841
O297	2.995160767221608	0.9992863993262446	-56.10750961303711	-113.87183380126953	2.9373550759813707	-14.225195308706333	-0.2575181722640991	1.828184962272644
O299	-0.6931723122522779	0.4664626516849474	22.16118621826172	-73.82051086425781	7.911071048475266	-1.7353261252102594	-3.1234753131866455	-0.7287554740905762
O301	0.6723115972303876	1.1912204206541326	-84.23246765136719	-12.15376091003418	-7.234941318342202	-1.242942421797988	-0.7078117728233337	-0.874914288520813
O31	-1.8818495023205226	-0.0019323881021065267	-16.977140426635742	17.037551879882812	-0.09470121259963425	6.359973404757553	-1.6388928890228271	-3.018458366394043
O32	-0.4662892887672968	1.2370232120909885	-45.928646087646484	-50.680728912353516	-3.894043429477026	7.563586054778976	-1.6593769788742065	-2.1929967403411865
O34	-2.645483039548475	1.285985118554158	-33.16136169433594	129.8137664794922	-0.14422141813687414	9.377648112160397	-4.0401997566223145	-3.003298759460449
O35	-1.5422710070363308	1.6818405407300312	-18.689804077148438	100.88114929199219	2.143804564316194	14.432625888127502	-3.824369430541992	-3.2780096530914307
O36	-1.1958817201594767	-0.7306054476556324	-39.419368743896484	-22.208229064941406	-4.638112739002403	0.6807422859626336	-1.1930065155029297	-1.5110430717468262
O39	0.26754187697402176	-0.12966320288288782	-93.78115844726562	-23.384197235107422	-7.724670702692169	-2.987463676823216	-0.9222700595855713	-0.5458181500434875
O41	-0.45905984934135274	1.2540889137397095	-50.678619384765625	41.70551681518555	5.925719321508812	7.245282895460347	-2.362705945968628	-2.0454416275024414
O44	-0.34816118811798735	-0.14625154053742054	-56.45073699951172	-19.092439651489258	-6.143373863163152	1.757442856882443	-0.8976007103919983	-1.5482500791549683
O46	-1.2923813026808633	-0.7200568383254844	-5.402432441711426	27.974769592285156	-2.1940245039475323	4.593429048116873	-1.3302253484725952	-2.458544969558716
O47	-2.496132809098393	0.7781912234377727	-29.652952194213867	63.73615264892578	3.110670063426077	9.06462983182393	-2.414175033569336	-2.5549585819244385
O48	-1.4162513374611185	-1.431984803552394	9.838394165039062	52.975154876708984	-4.973328161919325	4.769715365473912	-1.1452133655548096	-2.838808536529541
O49	-1.216172804813994	-1.3298900278184285	7.358775615692139	2.2463388442993164	0.43933689944979015	1.5894230350079979	-1.84135901927948	-2.458991765975952
O54	-1.4160629405600516	0.8078174267368028	-44.318626403808594	59.77281188964844	4.606684078300342	8.62338433245767	-2.6458468437194824	-2.000135660171509
O55	1.27527031817975	-1.8915688253647083	88.35807800292969	44.173702239990234	-7.002470718427114	-7.506164560042513	-1.1598470211029053	0.3079671859741211
O56	-0.6610543074256784	0.22269310541060855	-22.8320369720459	38.47385025024414	3.4774390025455557	6.143579511703183	-1.9823806285858154	-2.182774782180786
O58	-0.006757138273910197	-1.3045397240229855	15.038959503173828	30.237974166870117	-3.1489892240547315	3.0904808427118398	-1.0643824338912964	-2.188211679458618
O60	-1.898927861940938	-1.9734699985741104	-28.72714614868164	5.851810455322266	0.066181449352054	4.07442042127486	-1.6794805526733398	-2.961573600769043
O61	-0.466986997450388	-0.43375116621921195	4.37622594833374	41.461666107177734	-4.776768894659023	3.5170981066487133	-1.0993400812149048	-2.101405620574951
O62	0.596304526670014	-1.0600214158231516	103.05325317382812	48.741207122802734	-8.523191779717223	-7.15019848556024	-1.2371559143066406	0.0607123039662838
O65	-0.8712690945330195	3.2234324481002776	-40.81131362915039	96.79943084716797	5.077759648033396	12.414839452571856	-3.5579750537872314	-2.8171606063842773
O66	-0.670889228842741	1.209346455603196	-38.8319206237793	47.136592864990234	4.751769536785177	7.4467679510832845	-2.2778847217559814	-2.1359894275665283
O73	0.11793884414471834	-1.5923027613500356	80.31777954101562	-77.82942962646484	-10.525925543778142	-5.526241964772792	-1.4780287742614746	-0.15501296520233154
O76	-2.5034147197794288	0.46790011873246057	-5.467612266540527	129.297607421875	-0.28456202379868584	12.502221546658676	-4.310038089752197	-3.369375467300415
O78	-2.0402843569347087	1.9077617007949628	-18.968570709228516	87.31183624267578	3.2675377644471473	15.21679891393426	-3.6789770126342773	-3.3410260677337646
O89	-0.20710864185318403	-1.1191380444970918	19.044523239135742	81.92513275146484	-1.4101327222469988	17.45811622106048	-3.4525043964385986	-3.8148458003997803
