	PCA_X	PCA_Y	tsne_X	tsne_Y	fittsne_X	fittsne_Y	umap_X	umap_Y	nbtsne_X	nbtsne_Y	nbtsne_old_X	nbtsne_old_Y
O62	-16.732734644923873	-31.704140330439532	20.107736587524414	-66.9974136352539	5.848259418439474	-8.392970279413795	-3.401094675064087	1.2487709522247314	-2.99781	-99.51563	2.926573	18.43763
O65	-49.86103910063027	36.354388459385355	-71.90152740478516	-16.719390869140625	-1.7391166835886112	5.680231486620825	-5.0128068923950195	-0.906278669834137	52.28566	56.6541	32.75743	25.52608
O66	-1.9475838973626491	-7.98622964075827	65.03189849853516	21.323001861572266	-5.974541992013626	-11.47520210820639	-3.6527762413024902	0.10536252707242966	198.0091	89.50529	71.5573	73.96581
O73	16.609254294351746	-45.20755624808775	24.403247833251953	-48.960872650146484	6.592705915300641	-5.296789324111633	-4.036275386810303	1.5526690483093262	-54.57159	-70.06468000000001	-16.06106	2.9683740000000003
O76	151.2829265059805	-45.45614209285339	-3.7093698978424072	102.74358367919922	5.568631576733049	18.157582892303836	-7.996039867401123	-2.5348939895629883	250.0241	72.61825999999999	27.807090000000002	97.31658
O78	-61.2617660375196	-10.27549036338748	98.22492218017578	40.466278076171875	-10.12641247950843	-8.692545312701363	-2.719111442565918	1.9719204902648926	148.4988	16.71199	97.54541	43.56864
O89	-41.91992595563499	-20.702742429672178	31.461322784423828	41.85182571411133	-2.5145454188855645	-7.857107113337422	-2.887146472930908	0.8056613802909851	85.28304	-98.80875999999999	46.25448	-67.88893
O100	-55.98260256150685	24.65675284574251	-79.5194091796875	15.32821273803711	-6.269800072372063	1.8151796034970724	-4.263937950134277	-1.6722794771194458	36.19194	-51.75982	24.302629999999997	-88.01283000000001
O102	-57.414833679574315	-15.93824198355986	-4.016227722167969	-10.232916831970215	1.1451955831131853	-2.2937050074236303	-4.7049760818481445	0.8902990818023682	29.321340000000003	41.753029999999995	44.4831	11.16877
O103	-28.62972168538257	-18.618489807517438	9.970577239990234	-33.9622802734375	4.505178430092242	-5.377328655063018	-3.8810408115386963	0.5593000054359436	52.81064	-90.88734000000001	5.94597	-56.24896
O109	-52.930000051002416	22.947279454052605	-44.01955795288086	28.96523094177246	-6.278969025659021	4.0539799168712	-4.50491189956665	-1.724901556968689	33.20751	-3.176919	36.10111	-5.85351
O111	-60.58725123153133	29.559792089693364	-52.875606536865234	2.3563055992126465	-4.673933304758829	3.1108815433848833	-4.894144535064697	-1.4323160648345947	37.90051	15.177489999999999	23.16808	1.230168
O113	84.73422839415144	-55.783613194052286	-23.269065856933594	109.45783996582031	7.628895446062221	16.560888582310803	-7.874283790588379	-2.1420631408691406	-98.93354000000001	26.560859999999998	-82.38146	-62.014140000000005
O117	137.59591617910564	18.761171562478864	-18.0017147064209	85.90861511230469	3.1991068981928854	19.397493783252727	-7.73496675491333	-2.328054904937744	-208.3176	0.1450529	-91.12186	29.44203
O125	-25.269787636882132	-28.23221324184893	-53.86629867553711	68.01543426513672	-5.720342739651491	-6.174332789301312	-2.251117467880249	0.9268258213996887	72.97622	12.638119999999999	56.54826	33.7168
O127	-71.11281682070009	2.128552332585825	-63.774986267089844	44.186527252197266	-4.13802004100321	-3.3775447761994974	-3.299574136734009	-1.0235055685043335	5.072836	-33.002140000000004	26.462040000000002	-29.10845
O128	-38.53875723066467	13.57781641348823	-67.52838897705078	28.96145248413086	-6.70320107880673	-1.375940697017116	-3.7212674617767334	-1.4402669668197632	73.11878	-73.90311	33.5952	-56.0814
O129	-65.53090785545702	23.601762270698487	-60.62593460083008	18.47450828552246	-5.227370569952705	-0.4287576308380976	-3.859034538269043	-1.2907289266586304	112.9881	-5.341557	62.23761999999999	-29.47795
O130	-58.84024911983327	-4.531971503242298	-83.48920440673828	47.831668853759766	-0.33182483097849236	-14.496608036545194	-2.8181283473968506	-0.5370680689811707	-62.180930000000004	-42.19611	-22.95412	-33.75329
O131	76.96235740996094	84.63383993648331	-49.06186294555664	-65.29547119140625	1.2883132525325474	12.960927531071498	-6.7491068840026855	-1.7728803157806396	-199.571	59.54682	-64.33997	54.438019999999995
O132	26.6470062773454	-49.61337760998913	56.24300765991211	-19.238372802734375	-0.6734691913617895	-9.608815191687587	-2.657946825027466	0.22093935310840607	-50.7258	-5.5635650000000005	-57.16169	-70.26941
O135	30.644559848065768	-11.42507385463398	68.7947769165039	-8.916245460510254	1.4715802668770983	-11.06393120951829	-2.8826942443847656	0.47307828068733215	-138.0547	-37.6832	-80.61153	-30.54474
O137	43.88995766653982	42.56499138515148	-28.927045822143555	46.3619384765625	-3.366012897235419	5.739564872409772	-5.0617499351501465	-0.7021083235740662	-108.2099	-36.14331	-58.92081999999999	-23.65008
O138	106.35289702569833	-40.84009479595759	8.636955261230469	106.71556091308594	5.305765946803365	19.834888254808785	-8.062867164611816	-2.480274200439453	-152.4171	0.9511699	-89.27315	7.3297740000000005
O141	-55.56335245840297	-7.675766278505484	93.89705657958984	50.19886016845703	-10.926244203997316	-7.4518588522983045	-2.652043104171753	1.9205695390701294	180.4651	72.07507	88.0193	62.51051999999999
O145	-29.094941044687786	4.01855571735228	-109.97103881835938	5.700994968414307	4.7315395737592905	0.8798550020099962	-3.2564244270324707	0.21542374789714813	37.76482	-80.46095	17.613020000000002	-47.622890000000005
O147	-4.491057012350905	-6.2809455238178655	44.382041931152344	-30.141210556030273	4.07490165789029	-10.696132495139487	-3.5127298831939697	0.522598385810852	-92.94349	-8.461222	-56.326069999999994	-48.471990000000005
O149	-44.28155558060656	13.02506144128084	83.37743377685547	5.718758583068848	1.5561875252578508	-13.943158457780445	-2.9623019695281982	-0.24404847621917725	-78.97752	-30.9172	-37.827259999999995	-38.1774
O159	94.17424991663229	38.408108688655204	-34.547401428222656	-55.53422927856445	2.6825773687750956	15.438996192946465	-7.253287315368652	-2.152635097503662	-229.694	59.34124	-88.76061999999999	57.78066
O160	-13.7412277037969	9.69700686873598	-88.38048553466797	-51.83604049682617	0.9721479922435243	2.237022827341221	-4.997461318969727	0.09910248965024948	-96.6679	-83.23375	-34.09427	-10.484860000000001
O162	13.272716819296038	-18.12091522280126	24.503131866455078	19.502517700195312	9.373274678000904	-8.934355889897736	-3.840155601501465	1.321366548538208	-76.05653000000001	-65.979	-16.18889	-16.450770000000002
O164	-52.324063301850636	-6.297171816193059	0.9187503457069397	-89.77117156982422	0.2500828590480612	-7.500459741982637	-3.5479178428649902	-0.49759718775749207	-75.76246	-2.185045	-41.15168	-57.2494
O165	43.24886344423602	-31.020049755017645	42.8295783996582	-84.36885833740234	9.796739631554242	-5.609543142827357	-3.6792659759521484	1.5034964084625244	3.187505	-143.9648	27.314709999999998	62.13361999999999
O171	14.815212249898654	40.86874931186	-85.55557250976562	-8.96426773071289	0.07122432789065257	5.1582327943505035	-4.622920036315918	-0.6585596799850464	7.9866779999999995	-71.0081	4.04978	-24.4985
O204	-66.16312602086785	-5.725422309044473	49.43244171142578	32.99209213256836	-6.073574615055543	-9.081782168715694	-2.4954493045806885	1.288866639137268	122.5299	56.15181		
O205	-66.20462274953158	-9.468148229466232	57.8325080871582	37.542537689208984	-6.908885134814624	-9.104907412300625	-2.5649821758270264	1.4788011312484741	118.8356	88.4418		
O210	-64.20332299576006	30.48378103725808	-67.1808090209961	7.355624198913574	-4.701076103396014	1.1677753571637637	-4.343883037567139	-1.2286126613616943	81.09085999999999	-55.999030000000005		
O216	-74.26212979948664	-11.288750469031728	8.241060256958008	-2.7846720218658447	0.28640630940913847	-3.7828084184647084	-4.5170183181762695	0.9428223371505737	145.1039	63.96986999999999		
O222	12.039389284997057	-37.79489504281326	47.588375091552734	-46.54977798461914	7.399986907470756	-7.087351207891087	-3.397426128387451	1.6826937198638916	-34.87445	-91.89064		
O240	160.85446327640443	26.037330397163885	-4.458279132843018	87.12643432617188	3.1759447227776656	17.717244919781816	-7.6454081535339355	-2.5698139667510986	-208.5774	23.70068		
O242	-68.33898736604536	9.65007798125671	-18.5560359954834	-0.9992080330848694	-0.9087872859129268	-1.6001448904560411	-4.618004322052002	0.47758591175079346	101.5336	28.378220000000002		
O243	-43.335889653614835	-12.302849776062047	35.03980255126953	-43.67769241333008	5.950092080571349	-6.547712171361274	-3.993243932723999	1.0586010217666626	-10.84155	-46.778929999999995		
O248	-69.88137495194304	40.54626587822215	-60.1002311706543	-6.7129387855529785	-3.17122771661222	2.7515296187549487	-4.923399925231934	-1.2525579929351807	144.0604	37.8313		
O250	-77.07538564877632	0.9786827504558587	20.771650314331055	-2.8091118335723877	-0.37927243692971974	-4.9402112110702	-4.241204261779785	0.4984318017959595	109.1608	-72.39643000000001		
O255	-55.22194353318252	0.09382855517088967	44.535240173339844	-8.730985641479492	1.4307967610045795	-9.803433843582473	-3.1133222579956055	0.3469160497188568	-29.70825	-32.066359999999996		
O284	-71.48922397751593	-5.7373602133582455	19.586374282836914	-10.992144584655762	0.06677982641942204	-5.1715871717335915	-3.9672398567199707	0.6718292832374573	121.8577	-86.17899		
O285	-64.5734496986011	-5.189387310711293	52.67638397216797	24.533870697021484	-5.672166315396391	-9.778046977239166	-2.5689427852630615	1.2008708715438843	109.8825	72.5468		
O286	-56.946018580707154	23.65897902729419	-52.95008850097656	-15.06490707397461	-2.045193304480859	2.899180332307498	-5.041860580444336	-0.3461577892303467	146.8525	85.14652		
O287	98.06467827629565	32.485186079889566	-26.747560501098633	-35.90900802612305	0.944897572974784	19.278814558250065	-7.481603622436523	-2.6449224948883057	-197.6126	35.85439		
O290	-54.6005928452476	-20.15814331587963	66.24263763427734	-36.60406494140625	2.3638069225778553	-6.137620760716725	-3.5939693450927734	0.9506906270980835	-19.216520000000003	-69.39109		
O292	-62.35575666123399	7.425399099290956	-16.5093936920166	8.166862487792969	-0.9425346037601331	-0.8440860446860426	-4.500085353851318	0.07459534704685211	120.9633	30.385890000000003		
O296	22.76357989911516	-50.353510154024015	40.09925842285156	-61.17811584472656	3.8642521406319688	-7.7812045625553194	-3.5003786087036133	0.8268400430679321	-121.4272	-0.01649024		
O297	-59.82525380002442	-8.990683200883572	33.19431686401367	-16.141956329345703	1.4853425005245968	-7.482671720711641	-3.3934426307678223	0.4737887680530548	58.37688000000001	-52.48296		
O299	-1.1406963331796454	-22.281242261715178	86.05198669433594	-49.6361083984375	4.474215769261955	-2.709732109100411	-4.358203887939453	0.9153400659561157	56.72448000000001	112.2767		
O301	5.419072750488494	-25.56375544891232	47.320709228515625	3.3532204627990723	-2.597658514478374	-11.456761125859693	-2.748791217803955	0.7297751307487488	-34.52568	-117.7584		
