Cell	Face
Pvalb Vipr2	#FF1E82
Meis2 Adamts19	#FFCCCC
CR Lhx5	#15FF73
Astro Aqp4	#958E80
OPC Pdgfra Grm5	#CCD4CF
OPC Pdgfra Ccnb1	#BBC3BC
Oligo Rassf10	#669589
Oligo Serpinb1a	#93A5A2
Oligo Synpr	#4E6D69
VLMC Osr1 Cd74	#7D6262
VLMC Spp1 Hs3st6	#93A286
VLMC Osr1 Mc5r	#A2AF97
VLMC Spp1 Col15a1	#A8C0A4
Peri Kcnj8	#756559
SMC Acta2	#978B78
Endo Ctla2a	#9C837D
Endo Cytl1	#856560
PVM Mrc1	#5C7357
Microglia Siglech	#729480
