Cell	CellType	Age
GSM2656844	Unknown	27
GSM2656845	Unknown	27
GSM2656846	Unknown	27
GSM2656847	Unknown	27
GSM2656848	Unknown	27
GSM2656849	Unknown	27
GSM2656850	Pvalb.Tac1.Sst	27
GSM2656851	Unknown	27
GSM2656852	Cacna2d1.Lhx6.Reln	27
GSM2656853	Unknown	27
GSM2656854	Unknown	27
GSM2656855	Pvalb.C1ql1.Cpne5	27
GSM2656856	Unknown	27
GSM2656857	Unknown	27
GSM2656858	Unknown	27
GSM2656859	Unknown	27
GSM2656860	Unknown	27
GSM2656861	Unknown	27
GSM2656862	Unknown	27
GSM2656863	Unknown	27
GSM2656864	Unknown	27
GSM2656865	Unknown	27
GSM2656866	Unknown	27
GSM2656867	Sst.Pnoc.Calb1.Pvalb	27
GSM2656868	Ntng1.Synpr	27
GSM2656869	Calb2.Vip.Igfbp4	27
GSM2656870	Cacna2d1.Lhx6.Reln	27
GSM2656871	Unknown	27
GSM2656872	Unknown	27
GSM2656873	Unknown	27
GSM2656874	Unknown	27
GSM2656875	Unknown	27
GSM2656876	Unknown	27
GSM2656877	Unknown	27
GSM2656878	Unknown	27
GSM2656879	Unknown	27
GSM2656880	Unknown	27
GSM2656881	Unknown	27
GSM2656882	Unknown	27
GSM2656883	Unknown	27
GSM2656884	Unknown	27
GSM2656885	Unknown	27
GSM2656886	Unknown	27
GSM2656887	Unknown	27
GSM2656888	Unknown	27
GSM2656889	Unknown	27
GSM2656890	Unknown	27
GSM2656891	Unknown	27
GSM2656892	Cck.Calca	27
GSM2656893	Unknown	27
GSM2656894	Calb2.Cntnap5a.Rspo3	27
GSM2656895	Unknown	27
GSM2656896	Pvalb.Tac1.Syt2	27
GSM2656897	Unknown	27
GSM2656898	Unknown	27
GSM2656899	Unknown	27
GSM2656900	Cacna2d1.Ndnf.Cxcl14	27
GSM2656901	Unknown	27
GSM2656902	Unknown	27
GSM2656903	Cacna2d1.Lhx6.Reln	27
GSM2656904	Unknown	27
GSM2656905	Cck.Lmo1.Npy	27
GSM2656906	Unknown	27
GSM2656907	Unknown	27
GSM2656908	Unknown	27
GSM2656909	Unknown	27
GSM2656910	Unknown	27
GSM2656911	Unknown	27
GSM2656912	Unknown	27
GSM2656913	Unknown	27
GSM2656914	Unknown	27
GSM2656915	Unknown	27
GSM2656916	Unknown	27
GSM2656917	Unknown	27
GSM2656918	Unknown	27
GSM2656919	Unknown	27
GSM2656920	Unknown	27
GSM2656921	Unknown	27
GSM2656922	Unknown	27
GSM2656923	Unknown	27
GSM2656924	Sst.Npy.Serpine2	27
GSM2656925	Unknown	27
GSM2656926	Cck.Cxcl14.Calb1.Tac2	27
GSM2656927	Unknown	27
GSM2656928	Cck.Cxcl14.Calb1.Igfbp5	27
GSM2656929	Unknown	27
GSM2656930	Unknown	27
GSM2656931	Cacna2d1.Lhx6.Reln	27
GSM2656932	Unknown	27
GSM2656933	Unknown	27
GSM2656934	Cck.Cxcl14.Vip	27
GSM2656935	Unknown	27
GSM2656936	Unknown	27
GSM2656937	Unknown	27
GSM2656938	Unknown	27
GSM2656939	Unknown	27
GSM2656940	Unknown	27
GSM2656941	Unknown	27
GSM2656942	Pvalb.Tac1.Syt2	27
GSM2656943	Unknown	27
GSM2656944	Pvalb.Tac1.Sst	27
GSM2656945	Unknown	27
GSM2656946	Unknown	27
GSM2656947	Unknown	27
GSM2656948	Unknown	27
GSM2656949	Unknown	27
GSM2656950	Unknown	27
GSM2656951	Unknown	27
GSM2656952	Unknown	27
GSM2656953	Unknown	27
GSM2656954	Unknown	27
GSM2656955	Unknown	27
GSM2656956	Unknown	27
GSM2656957	Calb2.Vip.Gpd1	27
GSM2656958	Unknown	27
GSM2656959	Unknown	27
GSM2656960	Unknown	27
GSM2656961	Unknown	27
GSM2656962	Unknown	27
GSM2656963	Unknown	27
GSM2656964	Unknown	27
GSM2656965	Cacna2d1.Lhx6.Reln	27
GSM2656966	Unknown	27
GSM2656967	Unknown	27
GSM2656968	Unknown	27
GSM2656969	Unknown	27
GSM2656970	Unknown	27
GSM2656971	Unknown	27
GSM2656972	Unknown	27
GSM2656973	Sst.Pnoc.Calb1.Igfbp5	27
GSM2656974	Unknown	27
GSM2656975	Unknown	27
GSM2656976	Unknown	27
GSM2656977	Unknown	27
GSM2656978	Unknown	27
GSM2656979	Cacna2d1.Ndnf.Rgs10	27
GSM2656980	Unknown	27
GSM2656981	Unknown	27
GSM2656982	Unknown	27
GSM2656983	Pvalb.C1ql1.Npy	27
GSM2656984	Cacna2d1.Lhx6.Reln	27
GSM2656985	Unknown	27
GSM2656986	Unknown	27
GSM2656987	Unknown	27
GSM2656988	Unknown	27
GSM2656989	Unknown	27
GSM2656990	Unknown	27
GSM2656991	Unknown	27
GSM2656992	Unknown	27
GSM2656993	Unknown	27
GSM2656994	Unknown	27
GSM2656995	Unknown	27
GSM2656996	Cacna2d1.Ndnf.Cxcl14	27
GSM2656997	Unknown	27
GSM2656998	Sst.Pnoc.Calb1.Igfbp5	27
GSM2656999	Unknown	27
GSM2657000	Unknown	27
GSM2657001	Unknown	27
GSM2657002	Unknown	27
GSM2657003	Ntng1.Chrm2	27
GSM2657004	Unknown	27
GSM2657005	Unknown	27
GSM2657006	Unknown	27
GSM2657007	Cacna2d1.Lhx6.Vwa5a	27
GSM2657008	Unknown	27
GSM2657009	Unknown	27
GSM2657010	Unknown	27
GSM2657011	Unknown	27
GSM2657012	Unknown	27
GSM2657013	Unknown	27
GSM2657014	Unknown	27
GSM2657015	Unknown	27
GSM2657016	Cacna2d1.Lhx6.Reln	27
GSM2657017	Unknown	27
GSM2657018	Unknown	27
GSM2657019	Unknown	27
GSM2657020	Unknown	27
GSM2657021	Unknown	27
GSM2657022	Unknown	27
GSM2657023	Unknown	27
GSM2657024	Unknown	27
GSM2657025	Ntng1.Synpr	27
GSM2657026	Unknown	27
GSM2657027	Calb2.Cntnap5a.Rspo3	27
GSM2657028	Unknown	27
GSM2657029	Unknown	27
GSM2657030	Unknown	27
GSM2657031	Sst.Npy.Serpine2	27
GSM2657032	Unknown	27
GSM2657033	Unknown	27
GSM2657034	Unknown	27
GSM2657035	Unknown	27
GSM2657036	Unknown	27
GSM2657037	Unknown	27
GSM2657038	Unknown	27
GSM2657039	Ntng1.Rgs10	27
GSM2657040	Cck.Sema5a	27
GSM2657041	Unknown	27
GSM2657042	Ntng1.Synpr	27
GSM2657043	Unknown	27
GSM2657044	Unknown	27
GSM2657045	Sst.Pnoc.Pvalb	27
GSM2657046	Unknown	27
GSM2657047	Unknown	27
GSM2657048	Cacna2d1.Ndnf.Npy	27
GSM2657049	Unknown	27
GSM2657050	Unknown	27
GSM2657051	Cacna2d1.Ndnf.Npy	27
GSM2657052	Unknown	27
GSM2657053	Unknown	27
GSM2657054	Unknown	27
GSM2657055	Unknown	27
GSM2657056	Unknown	27
GSM2657057	Unknown	27
GSM2657058	Cacna2d1.Ndnf.Npy	27
GSM2657059	Unknown	27
GSM2657060	Unknown	27
GSM2657061	Unknown	27
GSM2657062	Unknown	27
GSM2657063	Unknown	27
GSM2657064	Sst.Npy.Serpine2	27
GSM2657065	Unknown	27
GSM2657066	Unknown	27
GSM2657067	Unknown	27
GSM2657068	Unknown	27
GSM2657069	Unknown	27
GSM2657070	Unknown	27
GSM2657071	Unknown	27
GSM2657072	Cck.Calca	27
GSM2657073	Unknown	27
GSM2657074	Unknown	27
GSM2657075	Pvalb.Tac1.Sst	27
GSM2657076	Unknown	27
GSM2657077	Cacna2d1.Lhx6.Reln	27
GSM2657078	Unknown	27
GSM2657079	Unknown	27
GSM2657080	Unknown	27
GSM2657081	Unknown	27
GSM2657082	Unknown	27
GSM2657083	Unknown	27
GSM2657084	Unknown	27
GSM2657085	Unknown	27
GSM2657086	Cacna2d1.Lhx6.Reln	27
GSM2657087	Unknown	27
GSM2657088	Unknown	27
GSM2657089	Unknown	27
GSM2657090	Unknown	27
GSM2657091	Unknown	27
GSM2657092	Unknown	27
GSM2657093	Unknown	27
GSM2657094	Unknown	27
GSM2657095	Unknown	27
GSM2657096	Unknown	27
GSM2657097	Unknown	27
GSM2657098	Unknown	27
GSM2657099	Unknown	27
GSM2657100	Unknown	27
GSM2657101	Unknown	27
GSM2657102	Unknown	27
GSM2657103	Unknown	27
GSM2657104	Unknown	27
GSM2657105	Cck.Sema5a	27
GSM2657106	Unknown	27
GSM2657107	Unknown	27
GSM2657108	Unknown	27
GSM2657109	Unknown	27
GSM2657110	Unknown	27
GSM2657111	Unknown	27
GSM2657112	Unknown	27
GSM2657113	Sst.Cryab	27
GSM2657114	Unknown	27
GSM2657115	Unknown	27
GSM2657116	Unknown	27
GSM2657117	Unknown	27
GSM2657118	Pvalb.Tac1.Syt2	27
GSM2657119	Unknown	27
GSM2657120	Unknown	27
GSM2657121	Unknown	27
GSM2657122	Unknown	27
GSM2657123	Unknown	27
GSM2657124	Unknown	27
GSM2657125	Unknown	27
GSM2657126	Cck.Sema5a	27
GSM2657127	Unknown	27
GSM2657128	Unknown	27
