Cell	CellType
653232374	Sst Rxfp1 Prdm8
653289801	Pvalb Reln Tac1
653326186	Pvalb Sema3e Kank4
653326966	Sst Mme Fam114a1
653327067	Sst Rxfp1 Prdm8
653327513	Pvalb Sema3e Kank4
653327546	Sst Rxfp1 Eya1
653677436	Lamp5 Lsp1
653699672	Sst Hpse Cbln4
653744562	Pvalb Sema3e Kank4
653795917	Vip Crispld2 Htr2c
653832102	Vip Gpc3 Slc18a3
654294107	Pvalb Tpbg
654356514	Lamp5 Lsp1
654407470	Lamp5 Lsp1
654669793	Vip Ptprt Pkp2
654689557	Lamp5 Lsp1
654704107	Vip Ptprt Pkp2
655120196	Vip Ptprt Pkp2
656147268	Sst Hpse Sema3c
656149874	Vip Rspo4 Rxfp1 Chat
656151146	Vip Rspo4 Rxfp1 Chat
656156755	Sst Hpse Cbln4
656426563	Sst Hpse Cbln4
656427633	Sst Hpse Sema3c
656449594	Sst Calb2 Pdlim5
656705176	Sst Chodl
656705665	Sst Chodl
656706125	Pvalb Tpbg
656718798	Pvalb Vipr2
656718838	Pvalb Th Sst
656721986	Vip Ptprt Pkp2
656839029	Vip Ptprt Pkp2
656841831	Vip Rspo4 Rxfp1 Chat
656857860	Pvalb Vipr2
656859689	Vip Chat Htr1f
656860694	Vip Ptprt Pkp2
656863406	Vip Crispld2 Kcne4
656880843	Vip Lmo1 Fam159b
656896838	Sst Hpse Sema3c
656900237	Pvalb Reln Itm2a
656901504	Vip Gpc3 Slc18a3
656901554	Sst Hpse Sema3c
656912028	Lamp5 Plch2 Dock5
656971837	Vip Ptprt Pkp2
656977580	Vip Arhgap36 Hmcn1
656990595	Vip Chat Htr1f
656993846	Vip Rspo4 Rxfp1 Chat
657039903	Vip Ptprt Pkp2
657042607	Vip Ptprt Pkp2
657048690	Vip Ptprt Pkp2
657052370	Vip Rspo4 Rxfp1 Chat
657054571	Vip Rspo4 Rxfp1 Chat
657179762	Vip Rspo4 Rxfp1 Chat
657184390	Vip Rspo4 Rxfp1 Chat
657185314	Lamp5 Lsp1
