	celltype	cc_directory	cc_ending	vc_directory	vc_ending
O206	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O210	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O211	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O216	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O222	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O24	hBIC	Cclamp	_CC.atf	Vclamp	_VC.atf
O240	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O242	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O243	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O245		Cclamp	_CC.atf	Vclamp	_VC.atf
O248	hBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O250	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O251	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O255	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O26	UC	Cclamp	_CC.atf	Vclamp	_VC.atf
O282	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O284	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O285	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O286	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O287	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O290	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O292	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O296	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O297	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O299	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O300	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O301	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O302		Cclamp	_CC.atf	Vclamp	_VC.atf
O303	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O304	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O305	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O31	vBIC	Cclamp	_CC.atf	Vclamp	_VC.atf
O32	vBIC	Cclamp	_CC.atf	Vclamp	_VC.atf
O34	UC	Cclamp	_CC.atf	Vclamp	_VC.atf
O35	UC	Cclamp	_CC.atf	Vclamp	_VC.atf
O36	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O39	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O41	vAAC	Cclamp	_CC.atf	Vclamp	_VC.atf
O422	UC	Cclamp	_CC.atf	Vclamp	_VC.atf
O423	UC	Cclamp	_CC.atf	Vclamp	_VC.atf
O424	hBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O425	hBIC	Cclamp	_CC.atf	Vclamp	_VC.atf
O426	hBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O427	hBIC	Cclamp	_CC.atf	Vclamp	_VC.atf
O428	UC	Cclamp	_CC.atf	Vclamp	_VC.atf
O429	hBIC	Cclamp	_CC.atf	Vclamp	_VC.atf
O43	UC	Cclamp	_CC.atf	Vclamp	_VC.atf
O430	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O431	UC	Cclamp	_CC.atf	Vclamp	_VC.atf
O433	hBIC	Cclamp	_CC.atf	Vclamp	_VC.atf
O434	hBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O435	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O436	UC	Cclamp	_CC.atf	Vclamp	_VC.atf
O439	hBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O44	vBIC	Cclamp	_CC.atf	Vclamp	_VC.atf
O440	hBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O441	UC	Cclamp	_CC.atf	Vclamp	_VC.atf
O442	Cortical	Cclamp	_CC.atf	Vclamp	_VC.atf
O443	Cortical	Cclamp	_CC.atf	Vclamp	_VC.atf
O444	Cortical	Cclamp	_CC.atf	Vclamp	_VC.atf
O445	Cortical	Cclamp	_CC.atf	Vclamp	_VC.atf
O447	Cortical	Cclamp	_CC.atf	Vclamp	_VC.atf
O448	Cortical	Cclamp	_CC.atf	Vclamp	_VC.atf
O449	UC	Cclamp	_CC.atf	Vclamp	_VC.atf
O450	hBIC	Cclamp	_CC.atf	Vclamp	_VC.atf
O451	UC	Cclamp	_CC.atf	Vclamp	_VC.atf
O452	UC	Cclamp	_CC.atf	Vclamp	_VC.atf
O453	UC	Cclamp	_CC.atf	Vclamp	_VC.atf
O454	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
O46	vBC	Cclamp	_CC.atf	Vclamp	_VC.atf
