Cell	CellType	Gender	Age
GSM1474615	sscortex	male	23
GSM1474616	sscortex	male	23
GSM1474618	sscortex	male	23
GSM1474619	sscortex	male	23
GSM1474620	sscortex	male	23
GSM1474621	sscortex	male	23
GSM1474622	sscortex	male	23
GSM1474623	sscortex	male	23
GSM1474626	sscortex	female	22
GSM1474628	sscortex	female	22
GSM1474629	sscortex	female	22
GSM1474630	sscortex	female	22
GSM1474631	sscortex	female	22
GSM1474632	sscortex	female	22
GSM1474633	sscortex	female	22
GSM1474634	sscortex	female	22
GSM1474635	sscortex	female	22
GSM1474636	sscortex	female	22
GSM1474637	sscortex	female	22
GSM1474638	sscortex	female	22
GSM1474639	sscortex	female	22
GSM1474640	sscortex	female	22
GSM1474641	sscortex	female	22
GSM1474642	sscortex	female	22
GSM1474643	sscortex	female	22
GSM1474644	sscortex	female	22
GSM1474645	sscortex	female	22
GSM1474646	sscortex	female	22
GSM1474647	sscortex	female	22
GSM1474648	sscortex	female	22
GSM1474649	sscortex	female	22
GSM1474650	sscortex	female	22
GSM1474651	sscortex	female	22
GSM1474652	sscortex	female	22
GSM1474653	sscortex	female	22
GSM1474654	sscortex	female	22
GSM1474655	sscortex	female	22
GSM1474656	sscortex	female	22
GSM1474657	sscortex	female	22
GSM1474658	sscortex	female	22
GSM1474659	sscortex	female	22
GSM1474661	sscortex	female	22
GSM1474662	sscortex	female	22
GSM1474663	sscortex	female	22
GSM1474664	sscortex	female	22
GSM1474665	sscortex	female	22
GSM1474666	sscortex	female	22
GSM1474667	sscortex	female	22
GSM1474668	sscortex	female	22
GSM1474669	sscortex	female	22
GSM1474670	sscortex	female	22
GSM1474671	sscortex	female	22
GSM1474672	sscortex	female	22
GSM1474673	sscortex	female	22
GSM1474674	sscortex	female	22
GSM1474675	sscortex	female	22
GSM1474676	sscortex	female	22
GSM1474678	sscortex	female	22
GSM1474680	sscortex	female	22
GSM1474681	sscortex	female	22
GSM1474682	sscortex	female	22
GSM1474683	sscortex	female	22
GSM1474684	sscortex	female	24
GSM1474685	sscortex	female	24
GSM1474686	sscortex	female	24
GSM1474687	sscortex	female	24
GSM1474688	sscortex	female	24
GSM1474689	sscortex	female	24
GSM1474690	sscortex	female	24
GSM1474691	sscortex	female	24
GSM1474692	sscortex	female	24
GSM1474694	sscortex	female	24
GSM1474696	sscortex	female	24
GSM1474697	sscortex	female	24
GSM1474698	sscortex	female	24
GSM1474699	sscortex	female	24
GSM1474701	sscortex	female	24
GSM1474702	sscortex	female	24
GSM1474704	sscortex	female	24
GSM1474705	sscortex	female	24
GSM1474706	sscortex	female	24
GSM1474707	sscortex	female	24
GSM1474708	sscortex	female	24
GSM1474711	sscortex	female	24
GSM1474712	sscortex	female	24
GSM1474713	sscortex	female	24
GSM1474715	sscortex	female	24
GSM1474716	sscortex	female	24
GSM1474718	sscortex	female	24
GSM1474719	sscortex	female	24
GSM1474720	sscortex	female	24
GSM1474722	sscortex	female	24
GSM1474723	sscortex	female	24
GSM1474724	sscortex	female	24
GSM1474725	sscortex	female	24
GSM1474726	sscortex	female	24
GSM1474727	sscortex	female	24
GSM1474728	sscortex	female	24
GSM1474729	sscortex	female	24
GSM1474730	sscortex	female	24
GSM1474733	sscortex	female	24
GSM1474735	sscortex	female	24
GSM1474736	sscortex	female	24
GSM1474739	sscortex	female	24
GSM1474740	sscortex	female	24
GSM1474741	sscortex	female	24
GSM1474742	sscortex	female	24
GSM1474743	sscortex	female	24
GSM1474744	sscortex	female	24
GSM1474745	sscortex	female	24
GSM1474746	sscortex	female	24
GSM1474747	sscortex	female	24
GSM1474749	sscortex	female	24
GSM1474750	sscortex	female	24
GSM1474751	sscortex	female	24
GSM1474752	sscortex	female	24
GSM1474753	sscortex	female	24
GSM1474754	sscortex	male	26
GSM1474755	sscortex	male	26
GSM1474756	sscortex	male	26
GSM1474757	sscortex	male	26
GSM1474759	sscortex	male	26
GSM1474761	sscortex	male	26
GSM1474763	sscortex	male	26
GSM1474764	sscortex	male	26
GSM1474765	sscortex	male	26
GSM1474768	sscortex	male	26
