	CellType	Resting membrane potential (mV)	Max. AP frequency (Hz)	Frequency Slope (Hz/pA)	AP firing threshold (pA)	Input resistance (MOhm)	Series Resistance (MOhm)	Capacitance (pF)	AP basewidth (ms)	AP halfwidth (ms)	AP symmetricity	AP peak amplitude (mV)	Sag potential	Attenuation	Latency (ms)	Approx Resistance (MOhm)
O132	vAAC	-59.1675	170.20401318530998	0.22189041579131832	75.0	64.34348094371296	10.699777198539396	86.08814799999998	0.4588726756527275	0.22658044014548878	0.4734845975293924	83.6938791227866	0.9643000000000086	1.2680121696249624	387.88	0.03972458925443011
O134	vBIC	-60.7666	266.05119096904286	0.41260531681979695	50.0	74.89667816006126	7.960990699755718	66.1961452	0.4156758764057603	0.20213537380973107	0.5210936258641982	82.52475990803744	4.064899999999994	1.1258274352871245	53.84000000000003	0.0315900741967661
O135	vBC	-67.59945	234.24141851046423	0.4669196633306778	278.18710465826683	75.29060290456087	8.879107663886353	65.3072176	0.46288173021265844	0.2406182214758149	0.48081878192939287	68.97591816965351	1.7883000000000067	1.209283834706108	388.96000000000015	0.0350765625954153
O137	vBC	-52.31625	265.98719043690784	0.3561246332505082	259.5387298389103	59.27963388898108	10.322324917885908	80.33800799999997	0.45243788320233086	0.2377308064920978	0.4999742258546618	70.45379166664877	1.7883999999999958	1.196043584621268	2.400000000000091	0.03154968151373814
O138	vBC	-60.7666	266.05119096904286	0.41260531681979695	50.0	87.81851776392978	11.900523051789172	71.09558800000002	0.4156758764057603	0.20213537380973107	0.5210936258641982	82.52475990803744	4.064899999999994	1.1258274352871245	53.84000000000003	0.0315900741967661
O139	hBC	-71.44475	201.0182112533569	0.4526250125349074	262.1785300374932	101.73612700738097	9.385852685475479	45.80507316000002	0.4595898354246636	0.23855699166159827	0.4880376302919789	76.88997698701831	2.386499999999998	1.1521373743046026	442.15999999999997	0.058270451980187654
O141	vBIC	-61.3037	177.157247309858	0.3170079972633164	469.88749898235005	59.214379146116805	9.048452927188096	65.9086504	0.48276651524325875	0.2464787482264129	0.447303864824992	75.42973290759205	0.8606000000000051	1.194599640376441	180.80000000000007	0.04374595562764131
O145	vBC	-63.9954	236.0225727771815	0.2517174488304004	475.0	51.35096691303149	11.954236790717774	63.291121999999994	0.4614061815120722	0.22969281070102532	0.4754996327804949	72.75497851250562	0.5981000000000023	1.1265606612342756	914.2800000000001	0.031456615176972805
O147	vAAC	-64.74915	256.88961628822136	0.4595883030324438	150.0	83.17481599651332	12.983979457267063	60.3005472	0.4654472955514155	0.22865042986611045	0.4683423102076924	80.69128055628374	1.23899999999999	1.3171521834126454	320.84000000000003	0.04112036867153759
O149	vAAC	-62.612950000000005	246.53524708470584	0.44522734360585736	125.0	77.45051492974851	11.071570841113878	75.579044	0.4524890538464643	0.2185591308937879	0.47753216365018974	85.06557829915445	1.5929999999999893	1.3350322649615445	725.4399999999999	0.033645421657544305
O151	hBIC	-61.00765	239.4109838026198	0.37150028464190815	225.0	73.34733240519618	11.884512817155903	57.528295600000014	0.47176293033451183	0.23782164016130553	0.457150120076692	79.36815293163252	2.3193000000000126	1.3360997024412304	302.72000000000014	0.028405073369829635
O159	hBIC	-59.198	193.8861456278734	0.33997353159176014	107.84251520179342	79.63064123370158	13.745141436130863	52.3380416	0.506477061069867	0.2596506822202752	0.43308896879308534	69.91290254773716	0.46999999999999886	1.2015268420278962	370.2400000000001	0.02211622147103146
O160	vBC	-57.1655	188.61958032325535	0.36643664393776826	167.93186225349976	81.91417033232582	16.03945449173695	37.68871680000006	0.4321957985532463	0.20987712137625594	0.49433265751906436	81.65992743088648	1.3977000000000004	1.2305515615831366	407.2400000000001	0.025701018568229293
O162	hBC	-68.634	271.8764123997659	0.5485933804370209	375.0	82.44104640771384	10.512097900429199	83.96984260000002	0.5444909901288113	0.2902754073889564	0.5002296707061231	64.7819381524458	0.5127000000000095	1.248992750234637	969.4399999999999	0.042751396887786466
O165	vBIC	-70.9351	194.30975772861842	0.342621477535573	379.3547796173641	58.20193276978342	10.28353452897247	53.596386800000005	0.5333450733311588	0.27363194822291054	0.4144272236019922	74.7013409223324	0.7018999999999949	1.337795670485613	8.840000000000032	0.04456819554847467
O171	vBC	-72.1741	187.24666837272497	0.2940824091447257	450.0	57.774647675754814	13.198410383453416	61.98785116399999	0.44543679103341793	0.2099481716236284	0.4781556478285398	86.2452250260041	0.4761000000000024	1.1571251233551707	133.12	0.0335789708825084
O204	vBC	-70.6177	97.63747767419915	0.27335558755709577	125.0	126.19188232859358	13.2203574467365	47.59460842000001	0.8000732594420636	0.4369566705102184	0.38229371465464385	83.74007147251524	3.4483999999999924	1.181552372892336	1274.1999999999998	0.0724992141515418
O206	vBC	-66.9556	296.0393234226171	0.3015623235862681	175.0	87.58728730084185	12.55380245888818	55.333915527200006	0.4869692226845148	0.24125177162782147	0.4618198839096019	87.10727437820111	1.8920999999999992	1.1628819644430266	271.56000000000006	0.05620917126818495
