	CellType	Resting membrane potential (mV)	Max. AP frequency (Hz)	Frequency Slope (Hz/pA)	AP firing threshold (pA)	Input resistance (MOhm)	Series Resistance (MOhm)	Capacitance (pF)	AP basewidth (ms)	AP halfwidth (ms)	AP symmetricity	AP peak amplitude (mV)	Sag potential	Attenuation	Latency (ms)	Approx Resistance (MOhm)
O49	vBC	-59.0149	207.74570016479123	0.4596160393188108	160.94562045135336	63.849539836366404	10.5471302735124	41.417522	0.4373843777407759	0.21707326432631854	0.4931648592471961	86.73628225421862	1.2451000000000079	1.0965972340952224	1057.6799999999998	0.05451754720531508
O52	vBC	-64.24865	86.6989738839632	0.20793770936204176	325.0	55.62177637042323	11.773323955488358	59.52284820000001	0.46803574811124404	0.22735514579070637	0.38481334869645334	93.33939275376855	0.9277000000000015	1.090489699441687	53.40000000000009	0.038857297198016776
O54	hBC	-63.1897	213.05027834717296	0.6130427567001118	162.26033072241924	100.81427691463954	11.844995442045754	38.264653800000005	0.4099482029123662	0.2118205403512381	0.5436747208804553	75.87670467881404	2.2460999999999984	1.1029266165494516	836.2800000000001	0.06535385137918424
O55	vBC	-62.7136	85.30853811482135	0.3067466782394588	400.0	47.39927298995088	8.912619431328535	72.57324560000002	0.50023450122315	0.25305810752122215	0.44665994471769804	77.11037047705418	0.5005000000000024	1.0902692183174805	764.88	0.04390646723830805
O56	vBIC	-59.5581	163.1173277316643	0.7344135605839696	200.0	77.96687343481503	9.966828401713418	42.235811200000015	0.49062802052033977	0.2630818781019402	0.47718640965186854	78.7023750286925	1.5075999999999965	1.1493666675260885	1435.96	0.05377350941650204
O58	hBC	-59.5947	127.94196897130438	0.49286401745339037	250.0	70.60670933194757	10.885815847265906	53.50798600000003	0.4237048118554888	0.21184378710337187	0.5159848484453726	72.37156229416902	0.4455999999999989	1.1060246449775943	1191.52	0.050844734054047304
O59	vBC	-69.4641	146.52504955486927	0.3974507658149523	325.0	70.07192883494908	9.9207234985233	57.647384599999995	0.47818133769708115	0.23951387071974536	0.45287951573815033	80.97465080687599	0.8545000000000016	1.1135873657331041	802.16	0.045813920058903196
O60	vBC	-56.7993	120.601841848299	0.264449625277514	175.0	62.48855678303911	11.53516558672524	56.36092000000001	0.4252615663883912	0.19404284840324748	0.4922438473331763	94.15704826601382	1.5441000000000003	1.074630267880207	686.4800000000001	0.04341072618521467
O61	hBIC	-61.30675	138.49295921442706	0.4333042989030448	225.0	77.42798481203621	8.326876049129135	43.401398600000014	0.4766122934888717	0.24730648179675338	0.4587074366344076	74.91050615248245	0.7568000000000126	1.1166986361510056	725.36	0.054348126511904585
O62	vBC	-68.6401	68.13357738724366	0.225080729043816	275.0	59.74265290679462	10.01872298952282	77.322047072	0.610178127042287	0.3052782689722454	0.36677069817246727	87.25079951966816	0.7811999999999983	1.0639389435012507	128.48000000000002	0.05600389092074715
O65	hBC	-63.5315	189.05281383824254	0.4389548161745787	108.04029647122798	110.88158622761993	13.077673534188964	41.894793799999995	0.5863810733071705	0.3225624822257589	0.4695475174710646	68.07556955725005	2.7283000000000044	1.1482232575465108	533.4	0.07286223767735067
O66	hBIC	-64.7339	163.44874842329125	0.6273668140241618	186.01282753837236	96.09018640535263	12.081898356197321	38.88617160000002	0.4794411568438342	0.2598988731184795	0.48349872232627	69.66797090515757	1.7151000000000067	1.087587976413296	1266.1599999999999	0.07673000982137625
O68	hBC	-70.0378	91.51957512339459	0.15259279079984836	320.0783314361099	108.7700177621439	12.432550306449931	49.368462052000005	0.5835640158313926	0.3073208339304359	0.3923171317358683	64.75061217980854	1.1047999999999973	1.2374759686699823	6.080000000000041	0.06776298929402845
O71	hBIC	-59.31399999999999	125.66998629425174	0.3708543206798852	75.0	133.32586708477658	15.740037539989535	32.5795252	0.5236350001178494	0.26466062194068407	0.4206142844563446	81.71668321069589	2.0142000000000024	1.17036133845937	353.0400000000001	0.08317250976640862
O73	vBC	-62.5183	117.70290000988422	0.33379677867822355	175.0	76.47000976216145	9.640660759319651	89.59339124	0.42672877755815114	0.21230428844120602	0.43862625853835696	79.23968354416255	0.6103000000000094	1.105828122593703	79.92000000000007	0.06042823117580933
O76	vBIC	-67.5781	181.38611514262757	0.4412709581284297	163.37102029640204	127.43496356634392	13.971101056885853	37.12865511203999	0.3856986250693588	0.19235873815383453	0.47025835194457677	83.46246580363676	1.6418999999999926	1.0979841878026295	202.20000000000005	0.08561262377734433
O78	hBIC	-71.7163	79.81465432267414	0.3671257959512627	184.72467885843204	117.37144305841812	21.16335379053655	42.58723380840001	0.4485825258313705	0.22793597555846262	0.4973893371365138	74.92906784877735	2.6976999999999975	1.0443403176356114	1000.2800000000001	0.10532492647526766
O80	vBC	-65.0757	88.43478695662917	0.337957540691034	241.33942183456165	82.99028607000581	10.254496083807945	53.13045318000002	0.5143308319030472	0.25436838419717545	0.42804656539298197	71.59191124099141	0.5249000000000024	1.0757768213930232	424.64	0.06463815685285894
O87	vBIC	-62.0178	114.77268276555468	0.3176714838706787	225.0	99.09751889541943	10.333691430187027	36.69607800000001	0.5134814657237247	0.27396157176038216	0.500069263223777	63.13993201940182	1.2023999999999972	1.1275746996234741	346.0400000000001	0.06365247368212855
O89	vAAC	-70.0195	96.47181731395968	0.31210021950372757	381.26777860218095	75.85561339124655	15.314826896511589	40.331293404000014	0.4871027006944876	0.2327815826322343	0.4373953718258764	82.50947945947848	0.5798000000000059	1.09530913665125	794.0400000000001	0.05265610429168776
O90	vBC	-70.0195	96.47181731395968	0.31210021950372757	381.26777860218095	80.32534979681704	23.19939087679314	44.15675180000001	0.4871027006944876	0.2327815826322343	0.4373953718258764	82.50947945947848	0.5798000000000059	1.09530913665125	794.0400000000001	0.052656104291687066
