	CellType	Reads (M)	Aligned reads (M)	Alignment rate (%)	Gene count (K)	Isoform count (K)
F0S4_160517_029_D01	Unknown	1.159471	0.03116	2.68743245842285	1.386	1.563
F0S4_160517_029_C01	Unknown	0.692439	0.014843	2.1435823227750026	0.958	1.096
F0S4_160517_029_B01	Unknown	0.735602	0.021129	2.872341293253689	0.848	0.976
F0S4_160517_029_A01	Unknown	0.841255	0.025372	3.015970187398589	0.783	0.88
F0S4_160517_028_H01	Unknown	2.501613	0.752288	30.07211746980848	11.927	19.014
F0S4_160517_028_G01	Unknown	2.854882	0.776313	27.192472403412822	11.952	19.136
F0S4_160517_028_D01	Unknown	0.210251	0.007089	3.3716843201697015	0.571	0.65
F0S4_160517_028_C01	Unknown	0.309911	0.012029	3.8814369286666173	0.608	0.697
F0S4_160517_028_B01	Unknown	0.31262	0.014494	4.636299660930203	0.603	0.685
F0S4_160517_028_A01	Unknown	0.229891	0.009	3.9148987998660227	0.537	0.607
F0S4_160517_027_H01	Unknown	2.21375	0.691555	31.239073969508752	12.473	20.577
F0S4_160517_027_G01	Unknown	1.713923	0.780439	45.53524283179583	7.886	11.104
F0S4_160517_027_D01	Unknown	0.227669	0.00936	4.1112316564837545	0.699	0.814
F0S4_160517_027_C01	Unknown	0.286366	0.011865	4.143299134673809	0.692	0.779
F0S4_160517_027_B01	Unknown	0.231867	0.011231	4.843725066525206	0.659	0.755
F0S4_160517_027_A01	Unknown	0.36667	0.011133	3.036245125044318	0.758	0.87
F0S4_160517_026_H01	Unknown	2.244503	0.796989	35.508484506369555	10.647	16.408
F0S4_160517_026_G01	Unknown	2.647648	1.072781	40.518263757115754	12.803	21.972
F0S4_160517_026_D01	Unknown	0.136993	0.006046	4.41336418649128	0.623	0.721
F0S4_160517_026_C01	Unknown	0.209215	0.00639	3.054274311115359	0.564	0.651
F0S4_160517_026_B01	Unknown	0.111612	0.004814	4.3131562914381965	0.546	0.623
F0S4_160517_026_A01	Unknown	0.162936	0.004839	2.969877743408455	0.52	0.619
F0S4_160517_025_H01	Unknown	2.406235	0.742538	30.858914445180957	11.33	17.693
F0S4_160517_025_G01	Unknown	2.671738	0.813243	30.43872565348848	11.461	17.925
F0S4_160517_025_D01	Unknown	0.318351	0.010606	3.3315428567838645	0.793	0.925
F0S4_160517_025_C01	Unknown	0.457851	0.033523	7.321814302032757	0.791	0.922
F0S4_160517_025_B01	Unknown	0.937324	0.052878	5.641379074898327	1.044	1.198
F0S4_160517_025_A01	Unknown	0.284199	0.011194	3.938789369420723	0.728	0.835
F0S4_160517_024_H01	Unknown	3.600604	1.101435	30.590284296745768	11.436	17.851
F0S4_160517_024_G01	Unknown	3.730566	1.120366	30.03206483949084	11.083	16.815
F0S4_160517_024_D01	Unknown	0.213815	0.006924	3.2383134953113673	0.321	0.356
F0S4_160517_024_C01	Unknown	0.279574	0.017258	6.172963151079857	0.499	0.579
F0S4_160517_024_B01	Unknown	0.445981	0.028788	6.454983508266047	0.641	0.735
F0S4_160517_024_A01	Unknown	0.454019	0.023728	5.22621299989648	0.581	0.668
F0S4_160517_023_H01	Unknown	4.24289	1.374517	32.39577269266938	12.293	19.495
F0S4_160517_023_G01	Unknown	3.501644	1.096451	31.312463517136525	11.43	17.657
F0S4_160517_023_D01	Unknown	0.282523	0.011795	4.1748813370946785	0.404	0.454
F0S4_160517_023_C01	Unknown	0.354993	0.016352	4.606288011312898	0.484	0.537
F0S4_160517_023_B01	Unknown	0.360422	0.018081	5.016619407250389	0.465	0.528
F0S4_160517_023_A01	Unknown	0.468168	0.020503	4.379410809794774	0.456	0.523
F0S4_160517_022_H01	Unknown	4.027232	1.186016	29.449905046443813	11.754	18.199
F0S4_160517_022_G01	Unknown	4.006241	1.192206	29.758718958744616	11.561	17.785
F0S4_160517_022_D01	Unknown	0.210756	0.009897	4.695951716677104	0.464	0.518
F0S4_160517_022_C01	Unknown	0.725631	0.030313	4.1774676109482645	0.627	0.702
F0S4_160517_022_B01	Unknown	0.175422	0.009653	5.502730558310817	0.417	0.48
F0S4_160517_022_A01	Unknown	0.298044	0.014479	4.858007542510502	0.483	0.541
F0S4_160517_018_H01	Unknown	3.959291	1.387248	35.03778833129467	11.494	17.879
F0S4_160517_018_G01	Unknown	3.158135	1.113669	35.26350203522015	11.435	17.882
F0S4_160517_018_D01	Unknown	0.000278	0.000223	80.2158273381295	0.194	0.22
F0S4_160517_018_C01	Unknown	0.159907	0.010043	6.280525555479121	0.444	0.532
F0S4_160517_018_B01	Unknown	0.166844	0.010641	6.377814005897725	0.464	0.54
F0S4_160517_018_A01	Unknown	0.474651	0.019642	4.1381983815477055	0.628	0.71
F0S4_160517_017_H01	Unknown	3.061708	1.04387	34.09436824151748	11.49	17.752
F0S4_160517_017_G01	Unknown	2.829729	0.961502	33.97858946916825	11.315	17.66
F0S4_160517_017_D01	Unknown	0.402195	0.01846	4.589813398973135	0.644	0.739
F0S4_160517_017_C01	Unknown	0.240561	0.012932	5.375767476856183	0.574	0.656
F0S4_160517_017_B01	Unknown	1.835944	1.375259	74.9074590510386	2.876	4.088
F0S4_160517_017_A01	Unknown	0.188283	0.010306	5.473675265424919	0.518	0.612
F0S4_160517_016_H01	Unknown	3.864752	1.399861	36.22123748173233	13.146	22.008
F0S4_160517_016_G01	Unknown	5.110776	1.695656	33.17805358716563	12.109	19.138
F0S4_160517_016_D01	Unknown	0.339553	0.064865	19.1030560766655	7.659	12.759
F0S4_160517_016_C01	Unknown	0.296944	0.009226	3.1069831348671806	0.413	0.478
F0S4_160517_016_B01	Unknown	0.310545	0.011264	3.627171585438503	0.528	0.576
F0S4_160517_016_A01	Unknown	0.312028	0.01194	3.826579665927416	0.522	0.603
F0S4_160517_015_H01	Unknown	4.354921	1.343715	30.855094730765494	12.067	18.859
F0S4_160517_015_G01	Unknown	4.024122	1.244544	30.927094158676105	11.833	18.561
F0S4_160517_015_D01	Unknown	0.27064	0.016637	6.1472805202483	0.653	0.751
F0S4_160517_015_B01	Unknown	0.218279	0.01034	4.7370567026603565	0.525	0.6
F0S4_160517_015_A01	Unknown	2.686075	0.212493	7.910910901594333	2.029	2.512
F0S4_160517_014_H01	Unknown	3.987942	2.036415	51.06430835754382	10.898	17.641
F0S4_160517_014_G01	Unknown	2.869575	1.578507	55.00838974412587	8.588	12.824
F0S4_160517_014_E01	Unknown	4.147903	3.437529	82.87390037809466	5.226	7.99
F0S4_160517_014_D01	Unknown	0.265015	0.029351	11.075222157236382	0.549	0.626
F0S4_160517_014_C01	Unknown	0.101341	0.010687	10.54558372228417	0.341	0.38
F0S4_160517_014_B01	Unknown	0.030032	0.003731	12.423415023974426	0.299	0.346
F0S4_160517_014_A01	Unknown	0.136344	0.021249	15.584844217567332	0.416	0.473
F0S4_160517_013_H01	Unknown	3.55149	2.664323	75.01986490177363	7.439	11.758
F0S4_160517_013_G01	Unknown	2.81666	1.913149	67.92261046771708	5.756	8.053
F0S4_160517_013_D01	Unknown	0.127413	0.005308	4.165979923555682	0.386	0.445
F0S4_160517_013_C01	Unknown	0.175132	0.006859	3.9164744307151174	0.448	0.495
F0S4_160517_013_B01	Unknown	0.222579	0.014383	6.461975298658004	0.675	0.769
F0S4_160517_013_A01	Unknown	0.690213	0.046393	6.721548275677218	1.256	1.492
F0S4_160517_012_H01	Unknown	3.480636	1.011972	29.074341585848106	12.651	20.531
F0S4_160517_012_G01	Unknown	3.45421	0.93094	26.950880230211833	12.036	18.896
F0S4_160517_012_D01	Unknown	0.391045	0.013846	3.540768965208608	0.37	0.417
F0S4_160517_012_C01	Unknown	0.5593	0.019366	3.4625424637940285	0.472	0.536
F0S4_160517_012_B01	Unknown	0.868118	0.026954	3.104877447535934	0.575	0.622
F0S4_160517_012_A01	Unknown	0.668016	0.021011	3.145283945294723	0.399	0.45
F0S4_160517_009_H01	Unknown	3.504389	1.0534	30.05944830896341	11.832	18.612
F0S4_160517_009_G01	Unknown	3.797667	1.277525	33.639731972287194	12.747	20.827
F0S4_160517_009_D01	Unknown	0.250044	0.011763	4.704372030522628	0.332	0.363
F0S4_160517_009_C01	Unknown	0.345711	0.011289	3.265444258354522	0.398	0.456
F0S4_160517_009_B01	Unknown	0.270734	0.011232	4.1487216234385045	0.301	0.328
F0S4_160517_009_A01	Unknown	0.431632	0.012674	2.936297586833228	0.311	0.344
F0S4_160517_008_H01	Unknown	3.448729	1.075273	31.178819791291225	11.808	18.612
F0S4_160517_008_G01	Unknown	3.581103	1.115022	31.136272818737687	11.873	18.645
F0S4_160517_008_D01	Unknown	0.084512	0.004788	5.66546762589928	0.261	0.283
F0S4_160517_008_C01	Unknown	0.287119	0.009313	3.243602826702517	0.312	0.352
F0S4_160517_008_B01	Unknown	0.240917	0.008216	3.410303133444298	0.354	0.396
F0S4_160517_008_A01	Unknown	0.441184	0.014425	3.269610865307899	0.402	0.451
F0S4_160517_007_H01	Unknown	3.379168	1.276938	37.78853256186137	9.628	14.306
F0S4_160517_007_G01	Unknown	3.456376	1.129531	32.679633234347186	11.473	17.982
F0S4_160517_007_D01	Unknown	0.177556	0.004589	2.5845367095451577	0.248	0.272
F0S4_160517_007_C01	Unknown	0.250074	0.006968	2.7863752329310523	0.286	0.31
F0S4_160517_007_B01	Unknown	0.214137	0.008152	3.806908661277593	0.301	0.334
F0S4_160517_007_A01	Unknown	0.191654	0.006121	3.193776284345748	0.252	0.283
F0S4_160517_006_H01	Unknown	3.413951	1.057883	30.987058689477383	12.076	19.235
F0S4_160517_006_G01	Unknown	3.594607	1.141359	31.751982901051495	12.05	19.281
F0S4_160517_006_D01	Unknown	0.218238	0.005456	2.5000229107671443	0.369	0.425
F0S4_160517_006_C01	Unknown	0.217728	0.006988	3.20950911228689	0.33	0.361
F0S4_160517_006_B01	Unknown	0.217128	0.006938	3.195350208172138	0.317	0.373
F0S4_160517_006_A01	Unknown	0.203083	0.005679	2.796393592767489	0.324	0.36
F0S4_160517_005_H01	Unknown	3.422914	1.267356	37.02564540038107	12.406	20.796
F0S4_160517_005_G01	Unknown	3.945372	1.221359	30.956751353231084	11.977	19.068
F0S4_160517_005_D01	Unknown	0.266412	0.009187	3.4484182394186456	0.843	0.989
F0S4_160517_005_C01	Unknown	0.372704	0.010745	2.8829848888125698	0.362	0.401
F0S4_160517_005_B01	Unknown	0.381057	0.019827	5.203158582574261	3.259	4.296
F0S4_160517_005_A01	Unknown	0.393315	0.011218	2.8521668382848353	0.413	0.455
F0S4_160517_004_H01	Unknown	2.732264	0.840755	30.77136762772558	11.842	18.602
F0S4_160517_004_G01	Unknown	2.890713	0.891984	30.856885481194436	11.757	18.496
F0S4_160517_004_D01	Unknown	0.468539	0.017202	3.6714126252030246	1.385	1.638
F0S4_160517_004_C01	Unknown	0.569302	0.021832	3.834871474191203	1.269	1.471
F0S4_160517_004_B01	Unknown	0.457916	0.019242	4.202080730963758	1.573	1.911
F0S4_160517_004_A01	Unknown	0.912543	0.027043	2.9634767895869016	1.444	1.722
F0S4_160517_003_H01	Unknown	2.370548	0.681631	28.754153048155956	11.532	17.862
F0S4_160517_003_G01	Unknown	3.246102	0.948619	29.22332693180929	11.866	18.604
F0S4_160517_003_D01	Unknown	0.410955	0.012125	2.9504446958912776	1.064	1.253
F0S4_160517_003_C01	Unknown	0.469614	0.018282	3.892984451059807	1.05	1.221
F0S4_160517_003_B01	Unknown	0.5607	0.021251	3.7900838237916887	1.221	1.44
F0S4_160517_003_A01	Unknown	1.798467	0.033579	1.8670901384345666	2.173	2.543
F0S4_160517_002_H01	Unknown	2.688255	0.809993	30.13080976321071	11.938	19.022
F0S4_160517_002_G01	Unknown	2.885015	0.860051	29.81097152007875	12.069	19.182
F0S4_160517_002_D01	Unknown	0.346584	0.013196	3.8074463910624843	0.957	1.098
F0S4_160517_002_C01	Unknown	0.49265	0.018035	3.6608139652897593	0.983	1.142
F0S4_160517_002_B01	Unknown	0.288617	0.010979	3.8040032291930133	0.814	0.96
F0S4_160517_002_A01	Unknown	0.393676	0.011739	2.981893740029872	0.867	1.01
F0S4_160517_001_H01	Unknown	3.241106	0.939726	28.993991557203003	12.328	20.053
F0S4_160517_001_G01	Unknown	3.216349	0.976134	30.34913188836161	12.171	19.601
F0S4_160517_001_D01	Unknown	0.716787	0.018966	2.6459743271013565	1.313	1.548
F0S4_160517_001_C01	Unknown	0.742515	0.022746	3.063372457122078	1.129	1.3
F0S4_160517_001_B01	Unknown	0.428233	0.012452	2.907762830048128	0.896	1.03
F0S4_160517_001_A01	Unknown	0.54468	0.014771	2.7118675185429972	1.018	1.198
F0S4_160419_008_H01	Unknown	1.171588	0.604718	51.61524358392199	2.828	3.706
F0S4_160419_008_G01	Unknown	1.387332	0.696863	50.23044231661924	2.953	3.845
F0S4_160419_008_F01	Unknown	1.485211	0.89195	60.05543993412383	3.019	4.087
F0S4_160419_008_E01	Unknown	1.030071	0.459932	44.65051438201833	2.226	2.821
F0S4_160419_008_D01	Unknown	0.657351	0.01763	2.681976600020385	0.846	0.967
F0S4_160419_008_C01	Unknown	0.925253	0.031908	3.448570282938829	1.015	1.155
F0S4_160419_008_B01	Unknown	0.635126	0.019704	3.1023765363093307	0.77	0.872
F0S4_160419_008_A01	Unknown	0.570723	0.018033	3.159676410447801	0.766	0.865
F0S4_160419_007_H01	Unknown	0.868519	0.425997	49.048667904789646	2.593	3.353
F0S4_160419_007_G01	Unknown	1.256903	0.687049	54.662054271491115	3.169	4.337
F0S4_160419_007_D01	Unknown	2.670891	0.093829	3.513022433337788	2.337	2.727
F0S4_160419_007_C01	Unknown	0.087801	0.003883	4.422500882677874	0.519	0.618
F0S4_160419_007_A01	Unknown	0.518666	0.01654	3.1889501143317664	0.91	1.07
F0S4_160419_006_D01	Unknown	0.639208	0.022584	3.5331222387704786	0.8	0.902
F0S4_160419_006_C01	Unknown	0.330387	0.012814	3.8784819015276026	0.569	0.631
F0S4_160419_006_B01	Unknown	0.827968	0.028695	3.4657136507691115	0.855	0.958
F0S4_160419_006_A01	Unknown	0.623987	0.022325	3.5777988964513687	0.786	0.89
F0S4_160419_005_D01	Unknown	2.597729	0.066368	2.554846945158636	3.046	3.645
F0S4_160419_005_C01	Unknown	0.717245	0.019633	2.7372794512335394	1.086	1.269
F0S4_160419_005_B01	Unknown	0.934655	0.029969	3.2064237606389523	1.142	1.338
F0S4_160419_005_A01	Unknown	0.463975	0.018267	3.9370655746538064	0.995	1.139
F0S4_160419_004_D01	Unknown	0.775158	0.023339	3.010870041978538	0.91	1.013
F0S4_160419_004_C01	Unknown	0.542284	0.017992	3.3178187075406984	0.794	0.907
F0S4_160419_004_B01	Unknown	0.777094	0.022835	2.938511943214077	0.899	1.028
F0S4_160419_004_A01	Unknown	0.663486	0.022658	3.4149929312751133	0.867	0.999
F0S4_160419_003_D01	Unknown	0.004538	0.000662	14.587924195680916	0.446	0.522
F0S4_160419_003_C01	Unknown	0.524688	0.013566	2.5855365474339034	0.719	0.825
F0S4_160419_003_B01	Unknown	1.245988	0.031064	2.49312192412768	0.955	1.095
F0S4_160419_003_A01	Unknown	1.598012	0.029357	1.8370950906501329	1.036	1.21
F0S4_160419_002_D01	Unknown	0.515743	0.014576	2.8262138313074536	0.531	0.593
F0S4_160419_002_C01	Unknown	0.28093	0.011423	4.066137471968106	0.384	0.427
F0S4_160419_002_B01	Unknown	0.487694	0.015534	3.185193994594971	0.454	0.519
F0S4_160419_002_A01	Unknown	0.355559	0.011955	3.3623111776104673	0.441	0.489
F0S4_160419_001_D01	Unknown	0.48516	0.013717	2.8273147003050543	0.688	0.776
F0S4_160419_001_C01	Unknown	0.450284	0.014613	3.245285197786286	0.627	0.727
F0S4_160419_001_B01	Unknown	0.5153	0.016066	3.117795458955948	0.593	0.676
F0S4_160419_001_A01	Unknown	0.44182	0.016917	3.828934860350369	0.626	0.727
F0S4_160307_048_D01	Unknown	0.322549	0.024802	7.689374327621541	0.904	1.061
F0S4_160307_048_C01	Unknown	0.50539	0.120169	23.777478778764912	1.164	1.412
F0S4_160307_048_B01	Unknown	0.133285	0.007848	5.888134448737668	0.769	0.876
F0S4_160307_048_A01	Unknown	0.121645	0.005062	4.161288996670639	0.738	0.834
F0S4_160307_047_D01	Unknown	0.745729	0.021679	2.9070882317839324	1.159	1.36
F0S4_160307_047_C01	Unknown	0.878843	0.02464	2.803686210164955	1.275	1.497
F0S4_160307_047_B01	Unknown	0.682216	0.024761	3.6294956436084753	1.153	1.326
F0S4_160307_046_D01	Unknown	0.334204	0.014946	4.472118825627461	1.221	1.422
F0S4_160307_046_C01	Unknown	0.44342	0.018164	4.096342068467818	1.179	1.321
F0S4_160307_046_B01	Unknown	0.309845	0.015772	5.090287079023383	1.179	1.383
F0S4_160307_046_A01	Unknown	0.369581	0.015961	4.31867439072896	1.166	1.383
F0S4_160307_045_D01	Unknown	0.351918	0.014122	4.012866633704442	0.598	0.667
F0S4_160307_045_C01	Unknown	1.025315	0.035614	3.4734691289993807	0.802	0.894
F0S4_160307_045_B01	Unknown	0.357787	0.013211	3.6924203506555577	0.492	0.559
F0S4_160307_045_A01	Unknown	0.549773	0.015773	2.8690022973117997	0.567	0.645
F0S4_160307_044_D01	Unknown	0.540295	0.026461	4.897509693778399	1.406	1.661
F0S4_160307_044_C01	Unknown	0.717401	0.028562	3.9813158888822295	1.658	2.024
F0S4_160307_044_B01	Unknown	0.711824	0.034158	4.798658095259502	1.554	1.834
F0S4_160307_044_A01	Unknown	0.627918	0.027784	4.424781579760414	1.541	1.878
F0S4_160307_043_D01	Unknown	0.306028	0.016005	5.229913602676879	0.827	0.948
F0S4_160307_043_C01	Unknown	0.299935	0.015319	5.107439945321486	0.736	0.858
F0S4_160307_043_B01	Unknown	0.258045	0.013437	5.207231296866825	0.698	0.789
F0S4_160307_043_A01	Unknown	0.230091	0.012233	5.316592130939498	0.813	0.93
F0S4_160307_042_D01	Unknown	0.348633	0.014876	4.266951206569659	0.988	1.165
F0S4_160307_042_C01	Unknown	0.39467	0.016676	4.225302151164263	0.961	1.133
F0S4_160307_042_B01	Unknown	0.337342	0.021214	6.288573613721388	0.944	1.09
F0S4_160307_042_A01	Unknown	0.241207	0.010668	4.422757216830357	0.98	1.143
F0S4_160307_041_D01	Unknown	0.634476	0.011981	1.888329897427168	1.853	2.183
F0S4_160307_041_C01	Unknown	0.222692	0.00815	3.659763260467372	0.61	0.7
F0S4_160307_041_B01	Unknown	0.271167	0.010981	4.049534050972279	0.642	0.718
F0S4_160307_041_A01	Unknown	0.382872	0.013176	3.4413589920391154	0.806	0.934
F0S4_160307_039_D01	Unknown	0.360249	0.015121	4.197374593683813	0.637	0.734
F0S4_160307_039_C01	Unknown	0.462032	0.016156	3.496727499393981	0.681	0.758
F0S4_160307_039_B01	Unknown	0.27933	0.013335	4.773923316507356	0.602	0.678
F0S4_160307_039_A01	Unknown	0.470649	0.020145	4.280259811451846	0.729	0.86
F0S4_160307_038_D01	Unknown	0.729811	0.029033	3.9781532478956882	0.752	0.86
F0S4_160307_038_C01	Unknown	0.730106	0.022434	3.0727045113997145	0.667	0.731
F0S4_160307_038_B01	Unknown	0.374504	0.019288	5.150278768718091	0.578	0.644
F0S4_160307_038_A01	Unknown	0.302053	0.012266	4.060876733553384	0.549	0.607
F0S4_160307_037_D01	Unknown	0.731329	0.023053	3.152206462481318	1.267	1.469
F0S4_160307_037_B01	Unknown	0.417184	0.013711	3.286559407839227	1.102	1.273
F0S4_160307_037_A01	Unknown	0.67759	0.017456	2.5761891409259285	1.058	1.209
F0S4_160307_036_D01	Unknown	1.241369	0.025268	2.0354946836919563	1.121	1.253
F0S4_160307_036_C01	Unknown	0.484827	0.013135	2.709213802036603	0.822	0.943
F0S4_160307_036_B01	Unknown	0.39073	0.011869	3.0376474803572795	0.847	0.979
F0S4_160307_036_A01	Unknown	0.454361	0.014241	3.1342918956512555	0.738	0.823
F0S4_160307_034_D01	Unknown	0.46881	0.015512	3.308803139864764	1.427	1.731
F0S4_160307_034_C01	Unknown	0.621466	0.019013	3.0593789523481574	1.468	1.756
F0S4_160307_034_B01	Unknown	1.414113	0.05529	3.9098714176306983	3.884	5.214
F0S4_160307_034_A01	Unknown	1.111298	0.024355	2.191581376012555	0.956	1.098
F0S4_160307_032_D01	Unknown	0.646663	0.020091	3.106873286394923	1.01	1.159
F0S4_160307_032_C01	Unknown	0.578306	0.023822	4.119272495875886	0.977	1.139
F0S4_160307_032_B01	Unknown	0.514502	0.02311	4.491722092431127	1.009	1.176
F0S4_160307_032_A01	Unknown	0.66459	0.023707	3.567161708722671	1.013	1.181
F0S4_160307_031_D01	Unknown	1.478356	0.045838	3.1006063492149383	1.403	1.618
F0S4_160307_031_C01	Unknown	0.419073	0.013342	3.183693533107597	0.846	0.965
F0S4_160307_031_B01	Unknown	0.495325	0.019561	3.9491243123201936	1.111	1.256
F0S4_160307_031_A01	Unknown	0.192071	0.007483	3.895955141588267	0.945	1.128
F0S4_160307_029_D01	Unknown	0.325619	0.031124	9.558410289325868	4.497	6.527
F0S4_160307_029_C01	Unknown	0.311317	0.015766	5.06429138145363	0.751	0.847
F0S4_160307_029_B01	Unknown	0.379413	0.025994	6.8511094770079035	0.883	1.002
F0S4_160307_029_A01	Unknown	0.48076	0.019858	4.130543306431483	0.869	1.003
F0S4_160307_028_D01	Unknown	0.528892	0.017433	3.2961360731491496	0.922	1.074
F0S4_160307_028_B01	Unknown	0.41284	0.016312	3.951167522526887	0.65	0.726
F0S4_160307_028_A01	Unknown	0.653209	0.034006	5.205990731909695	0.81	0.911
F0S4_160307_027_D01	Unknown	0.354441	0.014983	4.227219762950674	0.963	1.111
F0S4_160307_027_C01	Unknown	0.345077	0.012948	3.7522060293789496	0.806	0.91
F0S4_160307_027_B01	Unknown	0.504688	0.016905	3.349594204736391	0.923	1.063
F0S4_160307_027_A01	Unknown	0.331284	0.012258	3.7001485130582825	0.876	0.993
F0S4_160307_026_D01	Unknown	0.539143	0.018821	3.490910574745475	0.604	0.68
F0S4_160307_026_C01	Unknown	0.401914	0.017291	4.302164144568241	0.581	0.656
F0S4_160307_026_B01	Unknown	0.379112	0.017064	4.5010445462027056	0.517	0.589
F0S4_160307_026_A01	Unknown	0.350886	0.013584	3.8713428292949854	0.479	0.532
F0S4_160307_025_D01	Unknown	0.42256	0.01458	3.4503975766755013	1.198	1.415
F0S4_160307_025_C01	Unknown	0.912239	0.046081	5.051417446524431	1.143	1.317
F0S4_160307_025_B01	Unknown	0.24288	0.012529	5.158514492753623	1.198	1.392
F0S4_160307_025_A01	Unknown	0.936623	0.032785	3.500341119105553	1.397	1.63
F0S4_160307_024_D01	Unknown	0.523105	0.017014	3.252501887766318	1.024	1.189
F0S4_160307_024_C01	Unknown	0.658489	0.020592	3.127159299547904	0.999	1.151
F0S4_160307_024_B01	Unknown	0.549688	0.023	4.184191759689133	1.015	1.154
F0S4_160307_024_A01	Unknown	0.811756	0.024743	3.048083414227921	1.103	1.268
F0S4_160307_023_D01	Unknown	0.533785	0.020191	3.782609102915969	1.486	1.773
F0S4_160307_023_C01	Unknown	0.847184	0.031114	3.672637821299741	1.423	1.629
F0S4_160307_023_B01	Unknown	0.91629	0.036285	3.9599908325966666	1.566	1.821
F0S4_160307_023_A01	Unknown	0.978547	0.032974	3.3696899586836406	1.598	1.872
F0S4_160307_022_D01	Unknown	0.357706	0.012793	3.576400731326844	1.156	1.354
F0S4_160307_022_C01	Unknown	0.348227	0.013832	3.9721216333024145	1.045	1.223
F0S4_160307_022_B01	Unknown	0.382627	0.016134	4.21663918123917	1.074	1.224
F0S4_160307_022_A01	Unknown	0.793108	0.025865	3.26122041386545	1.066	1.21
F0S4_160307_021_D01	Unknown	0.350605	0.010644	3.035895095620428	1.109	1.294
F0S4_160307_021_C01	Unknown	0.345164	0.011945	3.4606737666732332	1.028	1.187
F0S4_160307_021_B01	Unknown	0.332002	0.016381	4.934006421648062	1.117	1.319
F0S4_160307_021_A01	Unknown	0.001208	0.000897	74.25496688741721	0.728	0.871
F0S4_160307_020_D01	Unknown	1.111977	0.024353	2.190063283683026	0.857	0.969
F0S4_160307_020_C01	Unknown	0.553558	0.014784	2.6707228510833554	0.621	0.701
F0S4_160307_020_B01	Unknown	0.467962	0.012938	2.764754403135297	0.616	0.713
F0S4_160307_020_A01	Unknown	1.135544	0.358354	31.557914092276473	1.606	2.014
F0S4_160307_019_D01	Unknown	0.344804	0.012613	3.6580202085822666	1.048	1.241
F0S4_160307_019_C01	Unknown	1.563322	0.046296	2.961386074014182	1.494	1.714
F0S4_160307_019_B01	Unknown	0.837502	0.024024	2.8685304632108344	1.291	1.479
F0S4_160307_019_A01	Unknown	0.452103	0.0146	3.229352603278457	1.086	1.289
F0S4_160307_018_D01	Unknown	0.730798	0.024647	3.3726145939096717	1.144	1.321
F0S4_160307_018_C01	Unknown	0.824789	0.027751	3.3646181023267774	0.9	1.043
F0S4_160307_018_B01	Unknown	0.917773	0.03345	3.6446920970653967	1.012	1.145
F0S4_160307_018_A01	Unknown	1.52599	0.062618	4.103434491707023	1.201	1.379
F0S4_160307_017_D01	Unknown	0.397575	0.014055	3.5351820411243158	0.695	0.787
F0S4_160307_017_C01	Unknown	0.462704	0.018177	3.9284294062726923	0.631	0.716
F0S4_160307_017_B01	Unknown	0.402471	0.015156	3.765737158702117	0.692	0.784
F0S4_160307_017_A01	Unknown	0.48416	0.014621	3.019869464639789	0.661	0.743
F0S4_160307_016_D01	Unknown	0.514088	0.020652	4.017211061141284	0.703	0.779
F0S4_160307_016_C01	Unknown	0.430034	0.019724	4.586614081677262	0.609	0.698
F0S4_160307_016_B01	Unknown	0.703371	0.031609	4.493929945931805	0.864	0.961
F0S4_160307_016_A01	Unknown	0.374859	0.014391	3.8390434803486113	0.554	0.627
F0S4_160307_015_D01	Unknown	0.320882	0.009921	3.091790751740515	0.739	0.811
F0S4_160307_015_C01	Unknown	0.435813	0.016911	3.880333996461785	0.754	0.853
F0S4_160307_015_B01	Unknown	0.223934	0.01081	4.827315191083087	0.564	0.627
F0S4_160307_015_A01	Unknown	0.414222	0.018	4.3454958935063805	0.632	0.714
F0S4_160307_014_D01	Unknown	0.597967	0.033332	5.574220650972378	0.944	1.066
F0S4_160307_014_C01	Unknown	0.703355	0.032861	4.6720361695018875	0.856	0.97
F0S4_160307_014_B01	Unknown	0.552183	0.030896	5.5952465034236845	0.876	0.996
F0S4_160307_014_A01	Unknown	0.309663	0.030881	9.972453925719249	0.808	0.927
F0S4_160307_013_D01	Unknown	0.687882	0.018319	2.6631021018139736	0.992	1.141
F0S4_160307_013_C01	Unknown	0.89139	0.028591	3.2074625023839167	1.181	1.346
F0S4_160307_013_B01	Unknown	2.100254	0.058804	2.7998518274456328	1.39	1.594
F0S4_160307_013_A01	Unknown	0.241203	0.009933	4.118107983731546	0.612	0.689
F0S4_160307_010_D01	Unknown	0.263861	0.011065	4.193495817873805	0.868	0.996
F0S4_160307_010_C01	Unknown	0.349638	0.015791	4.516385518736522	0.772	0.885
F0S4_160307_010_B01	Unknown	0.214609	0.012803	5.965733030767582	1.518	1.866
F0S4_160307_010_A01	Unknown	0.28377	0.011998	4.228072030165275	0.774	0.882
F0S4_160307_009_D01	Unknown	0.384765	0.017575	4.567723155692435	0.673	0.775
F0S4_160307_009_C01	Unknown	0.529385	0.025571	4.8303219773888575	0.646	0.743
F0S4_160307_009_B01	Unknown	0.329155	0.020128	6.115052179064575	0.652	0.728
F0S4_160307_009_A01	Unknown	0.418881	0.033944	8.103494787302362	4.64	6.691
F0S4_160307_008_D01	Unknown	1.871412	0.039579	2.11492712454553	1.256	1.446
F0S4_160307_008_C01	Unknown	0.686469	0.026844	3.91044606529938	1.055	1.195
F0S4_160307_008_B01	Unknown	0.968936	0.038147	3.9369989349141736	1.202	1.347
