Cell	O41	O89	O127	O132	O147	O149	O164	O31	O32	O44	O56	O76	O87	O134	O141	O165	O24	O61	O66	O71	O78	O104	O125	O151	O159	O427	O433	O36	O39	O46	O47	O48	O49	O52	O55	O60	O62	O73	O80	O90	O100	O103	O109	O111	O113	O117	O128	O129	O130	O131	O135	O137	O145	O160	O171	O430	O435	O454	O54	O58	O65	O102	O106	O162	O434	O439	O440	 
CellType	vAAC	vAAC	vAAC	vAAC	vAAC	vAAC	vAAC	vBIC	vBIC	vBIC	vBIC	vBIC	vBIC	vBIC	vBIC	vBIC	hBIC	hBIC	hBIC	hBIC	hBIC	hBIC	hBIC	hBIC	hBIC	hBIC	hBIC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	vBC	hBC	hBC	hBC	hBC	hBC	hBC	hBC	hBC	hBC	 
Ptprn	0.0	6.088228539358395	6.044885863398057	4.1879577294935775	5.497590012932391	3.109281986387539	3.73579292798531	6.972175672239739	6.94403849975484	4.739599713159641	4.41801179312457	0.0	6.076137905568651	4.924560752136562	6.419404053900631	5.971467681140793	4.004789003697109	3.908130780140738	6.757599755810335	2.9030440563113653	6.117082016366694	6.189174211402414	3.984662257934783	4.0707662685985815	0.0	0.0	0.11735766522286913	4.95712061940698	2.4836016944520996	5.042622451698788	5.381729818919249	5.4330061605244895	0.0	6.7768610068722355	0.0	8.027894941393114	0.11131207626862182	4.9077078912531205	5.678801521398273	6.687368544310322	3.2004007709787627	5.749435045453379	5.9047297445901465	1.3386411949826018	0.0	0.0	6.311430455749743	4.090647679339441	5.443338110173748	0.0	6.2265085298086795	5.109632188459822	5.77288592967909	5.771272883919667	4.528496306779912	6.929364942183418	3.98948419536095	1.482879252933711	1.7426443921645456	4.112374864254746	4.600787118138544	3.1762812786023122	4.237961352987416	6.328718005603586	2.175416015639148	3.370857556333329	6.100872552475028	
Bsg	10.175036338956893	10.857498087193157	10.222026876855933	10.538913212094808	9.44418457093501	9.685437010854768	8.051508054965272	8.956736058595746	10.382699470528538	10.56180944578507	9.913780807908655	0.0	8.01536080045747	9.363252130048433	9.71370693981284	7.127200850032873	10.107236196732849	7.8562387598970815	10.245272666706889	10.666207942188683	10.677859364029173	10.277380226025304	10.550222573475601	9.474023198910038	8.460278424689085	10.225448119143973	8.819010129507562	10.248594605646813	9.194571222283317	9.678213596449114	10.28489721034045	10.16901365800068	8.700449595019485	8.892626898806265	9.788206076047446	8.349241564941483	8.7480213499275	8.139940111444636	10.194441561562343	8.980640511509629	9.61332256522192	9.431510660536857	10.127568798565186	9.816565788979915	10.627551575161482	7.8152219483316765	9.725309261368054	10.404327160775816	9.937961928493692	9.17976580835815	8.207076640327926	8.37846127977467	9.016358391915754	9.766522067789857	9.026822075764153	8.964631973991244	7.5962069192670425	9.267751395016985	10.019452464847843	8.625453043340908	9.817638231150207	9.1572167887989	9.80671778966656	8.254166940990727	9.399803057517422	9.14772537171148	9.653355041295889	
																																																																				
Clstn3	6.922983547189267	6.754834068024278	8.115772748890981	7.862933614240479	6.090228889424837	5.695420406004832	4.955256999308173	7.888567326774875	8.846846170960886	7.171749357626061	7.490028657933153	9.132756761382055	3.0337630410249252	7.170255615485408	7.7775262895247534	0.0	5.537423472937436	7.8227046584076705	6.7253131518335865	0.1850355673568832	7.9946778706384105	7.893871760558624	8.400165715923244	7.125281276553085	0.0	7.9820906098638975	9.833876783806177	8.566246828729163	0.12253264969110148	6.191976797390964	8.331805407638718	8.130416118003156	0.0	7.094295089900791	9.084203875568763	0.0	7.095855869263467	0.0	7.366075973279011	5.619047589184614	6.4875257733845855	6.104935748729565	7.091541171265793	6.544634483793415	7.637391220138823	0.0	7.9581693396998565	6.931638173041126	6.78521272381935	0.0	5.868938582925604	0.0	5.707560681136607	6.13533785653182	0.12474314793239911	6.539797798995191	7.803728133493781	7.7202100506776645	0.046215835760701214	4.376492518760242	5.00350509434219	6.094213263596357	6.411968510395719	5.606759337446668	4.64488984105743	7.318045632566276	5.152512004546218	
Cntnap4	8.234577959784566	6.290770880383337	8.016222178228073	6.5547285100759	7.47312855615667	6.683587406017356	4.5446801146680595	0.6770255718663432	6.3333199647250575	7.026670609272606	7.670559948223179	0.0	4.791014221429819	7.268612174274384	6.932028090299562	6.177377736602988	6.3375416261556445	0.0	7.942743207156423	5.382971528334549	8.22579114631103	6.405945743540501	5.898808141243611	5.679817861729766	0.0	0.07150389441382142	0.0	7.205363186442684	1.9670742573574982	6.9084139983233595	6.837397840440937	6.735467479488209	0.0	6.785670335440967	8.884269351783324	2.875017237895477	6.084946539830569	6.783080739851516	7.431762509307607	6.953417743099346	6.521245826850076	6.894951624649157	6.087785714214321	7.520855149239598	0.0	0.0	7.702403359575576	5.683060854866055	6.757596955836132	5.140009667803831	6.3425867449631514	7.028237501961021	5.168537744447674	5.9577822991028615	1.0615276525201558	5.58104809267772	4.535304183570028	7.246210805354466	0.0991320173775982	6.991980941187467	6.583429273650867	5.373605758034002	7.180993191279332	6.875732890169804	7.159146780710725	6.041236191104037	4.415689044532818	
Fstl5	0.0	5.211592426575752	0.0	0.0	0.07631335772317437	0.0	0.0	5.8975432145191435	4.060324479054736	2.29407370755524	0.0	0.0	0.0	0.0	0.0	0.0	0.1362096331790939	0.0	0.0	0.0	0.0	0.1450213280688125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06956813204143075	0.0	5.169673004731496	0.0	6.271110238802537	0.0	0.0	2.6125671765631653	0.0	2.7777374153746677	0.0	0.0	0.0	0.0	0.23011322648215876	4.544553389627564	0.0	0.0	0.029756199747854123	0.0	0.0	0.0	0.0	6.56098085045422	0.0	0.0	0.0	0.4688950201463286	0.0	0.05201822870110061	0.38534378256781876	0.0	0.265428494306426	0.0	0.0	0.0	0.0	0.0	
Igsf8	0.0	8.009342916911791	5.079840586947052	0.0	7.413483229186029	6.105916552031794	0.0	7.603995464508235	7.582601161793118	7.358747011121589	7.741563387568549	0.0	0.0	6.858045914943727	7.834672981553882	0.0	7.613812775731875	1.2276548318840206	7.599610290700655	4.01916814307028	6.768220325525095	8.031638076990635	8.755657268454812	7.649997636407567	4.840930460472162	7.499120371821149	0.19998071493178304	7.2255497863017615	0.0	6.6536307320721955	3.4357199262907274	8.23122154558576	0.0	5.82976154464603	0.0	8.841243286809963	7.016173027812479	0.0	3.2561456473929167	7.34274228790901	6.416795839008096	5.8683267379671795	5.343208816153504	5.370335189316373	0.22341884279088292	0.0	7.4764049383612745	5.8021232781483025	3.2859673486805776	6.509017400439671	0.0	0.0	6.853560328593939	6.459490964644485	0.0	5.969769845933124	7.818185901167843	7.466358261722469	8.806872440233882	0.0	6.509301548521461	7.818297764379113	4.774006027413619	0.0	0.0	7.683907650523954	4.72334885853507	
Lrrc4	0.0	6.429845237421924	4.207658628888828	1.136978811963504	0.0	2.6998514225406303	3.7584812108344727	0.0	2.8626715727347	4.472335045660849	5.039786758920516	0.0	0.3541203646328312	5.207479032356146	0.0	6.6520375547486035	5.988202950684708	0.0	5.926450664749481	0.0	2.920682032231424	4.886545270050917	4.572895730151716	0.45922280620786093	0.0	6.163722123398465	0.0	4.842048571715612	0.0	3.427232042568304	3.2453693986608814	0.0	0.16569459401935102	0.08090320756178043	0.04048133546795143	0.0	0.0	0.24786555215759856	3.8049208983060736	2.927393982287078	4.090260652273184	5.332675714284884	0.0	3.7199938387437284	0.0	0.0	4.06522762277562	0.15532180009863453	1.0921059315918307	0.0	3.617886162608184	0.9676703272528255	0.32779771750436054	0.0	5.200280700175446	3.3927158263939914	0.0	0.0	0.047393623420400786	4.351253756396212	3.0149211898077355	4.787636191102976	4.754202861091369	2.310095772534845	6.863949597578166	0.0	2.6739362686003676	
Negr1	0.0	5.077178896721609	4.659239572218319	0.0	2.2857158784539986	1.565609311987814	0.0	0.0	5.419980396498025	6.610817270440613	6.24000896473507	2.051793188875221	4.146197872649764	5.680572412669086	5.4399521940579705	6.738632746670322	0.0	4.440919650674933	1.825871087827369	2.8268758847141218	5.820487793768625	5.436551650190454	5.7483404666459235	4.198305553724979	1.9407906493051925	7.345786564603953	0.0	0.0	6.916846824973434	2.1860782730155437	3.602623156333542	4.619172345705977	0.051801122230379755	4.716310527974885	0.6540923329201263	0.06249435999505475	0.17209075182377861	0.0	1.110043128680063	1.0917269108570928	1.5619517186000254	0.0	1.6946029904739044	0.0	0.0	0.0	3.767750127359165	2.74484718152623	0.0	0.0	0.0	0.0	1.5284052868723468	0.3470628296398926	0.4176986192069543	1.2862229158560166	5.291164914713388	6.1124698877686106	0.2240233520963745	0.0	0.07244130385620967	0.0	2.5101796146376865	0.0	3.073791104950476	1.2354329773744424	2.561502108852167	
Nlgn2	0.0	0.6675442927750006	0.35974379831419107	0.6198111347957491	0.6100820368135789	0.31934740351695035	0.13215499421836527	0.0	3.9775171471798947	0.3102156246202097	1.1665354985056307	0.0	6.726695004499616	2.283515864655503	3.504099148502056	3.2576111131182373	3.8169529136771128	0.0	4.438908926480201	0.6753887037552988	2.170675007878797	2.912981282660198	1.8458472932734509	1.56323624375561	1.1160319934471103	0.0	0.0	0.0	1.0506897492389298	3.158139871228733	1.3431576387076773	2.2220935464077205	0.0	2.8679721540893857	0.0	5.566037289107694	2.416437136001541	3.471564671269459	5.3076438204324	4.4385408433825555	0.9192805807718101	2.697627052113592	2.719678494606807	1.4272467950592485	0.0	0.0	2.9400746406278087	1.591652132796742	1.9820389132835574	1.2344277430783204	3.393955668640731	0.3547917773937836	2.344551575212292	0.0	0.6097587438058643	5.048407094429011	0.44341569390655566	0.25682589312399345	0.0	3.5548221196758556	3.3926224174891004	2.2736620913052703	3.5533850805542766	0.0	3.96153998662835	4.882872884161663	1.055438628614112	
