Cell	CellType	X	Y
GSM2663365	Pvalb.C1ql1.Pvalb	-1.3659967184066772	4.469585418701172
GSM2663375	Pvalb.Tac1.Syt2	1.9973622560501099	3.6044301986694336
GSM2663386	Pvalb.Tac1.Syt2	0.4683879017829895	3.196805238723755
GSM2663399	Pvalb.C1ql1.Npy	0.0981440469622612	5.174449443817139
GSM2663402	Pvalb.Tac1.Akr1c18	1.6624492406845093	5.33854341506958
GSM2663406	Pvalb.Tac1.Akr1c18	0.3671781122684479	2.980588674545288
GSM2663440	Pvalb.Tac1.Syt2	1.9042162895202637	5.905366897583008
GSM2663451	Pvalb.Tac1.Sst	3.1481151580810547	6.0103654861450195
GSM2663467	Pvalb.C1ql1.Pvalb	-1.2741947174072266	3.7913453578948975
GSM2663483	Pvalb.Tac1.Sst	3.944784164428711	5.134779930114746
GSM2663486	Pvalb.C1ql1.Pvalb	-0.9823649525642395	4.125847816467285
GSM2663522	Pvalb.Tac1.Sst	3.786766290664673	6.180410385131836
GSM2663526	Pvalb.Tac1.Syt2	1.823535442352295	3.3645644187927246
GSM2663529	Pvalb.Tac1.Nr4a2	1.7273093461990356	7.034273624420166
GSM2663551	Pvalb.C1ql1.Pvalb	-0.5720973014831543	3.3725852966308594
GSM2663557	Pvalb.Tac1.Nr4a2	3.195586919784546	5.329797267913818
GSM2663566	Pvalb.C1ql1.Cpne5	-1.2599554061889648	5.047032356262207
GSM2663617	Pvalb.Tac1.Syt2	2.181851387023926	3.483332872390747
GSM2663681	Pvalb.Tac1.Syt2	2.1995842456817627	3.2140865325927734
GSM2663683	Pvalb.Tac1.Syt2	2.1411588191986084	5.304082870483398
GSM2663703	Pvalb.C1ql1.Pvalb	-0.37907227873802185	3.2683398723602295
GSM2663706	Pvalb.C1ql1.Cpne5	-0.22221027314662933	5.050105571746826
GSM2663731	Pvalb.C1ql1.Cpne5	-0.8844220042228699	6.669225215911865
