SRA	Cell
SRR7334113	F1S4_160108_005_G01
SRR7334114	F1S4_160108_005_H01
SRR7334115	F1S4_160108_006_A01
SRR7334117	F1S4_160108_006_B01
SRR7334118	F1S4_160108_006_C01
SRR7334119	F1S4_160108_006_D01
SRR7334120	F1S4_160108_006_E01
SRR7334121	F1S4_160108_006_F01
SRR7334122	F1S4_160108_006_G01
SRR7334123	F1S4_160108_006_H01
SRR7334124	F1S4_160108_009_A01
SRR7334125	F1S4_160108_009_B01
SRR7334126	F1S4_160108_009_C01
SRR7334128	F1S4_160108_009_D01
SRR7334129	F1S4_160108_009_E01
SRR7334130	F1S4_160108_009_F01
SRR7334131	F1S4_160108_009_G01
SRR7334132	F1S4_160108_009_H01
SRR7334133	F1S4_160108_010_A01
SRR7334134	F1S4_160108_010_B01
SRR7334135	F1S4_160108_010_C01
SRR7334136	F1S4_160108_010_D01
SRR7334137	F1S4_160108_010_E01
SRR7334139	F1S4_160108_010_F01
SRR7334140	F1S4_160108_010_G01
SRR7334141	F1S4_160108_010_H01
SRR7334142	F1S4_160108_011_A01
SRR7334143	F1S4_160108_011_B01
SRR7334144	F1S4_160108_011_C01
SRR7334145	F1S4_160108_011_D01
SRR7334146	F1S4_160108_011_E01
SRR7334147	F1S4_160108_011_F01
SRR7334148	F1S4_160108_011_G01
SRR7334150	F1S4_160108_011_H01
SRR7334151	F1S4_160108_012_A01
SRR7334152	F1S4_160108_012_B01
SRR7334153	F1S4_160108_012_C01
SRR7334154	F1S4_160108_012_D01
SRR7334155	F1S4_160108_012_E01
SRR7334156	F1S4_160108_012_F01
SRR7334157	F1S4_160108_012_G01
SRR7334158	F1S4_160108_012_H01
SRR7335766	F2S4_151217_011_A01
SRR7335767	F2S4_151217_011_B01
SRR7335768	F2S4_151217_011_C01
SRR7335769	F2S4_151217_011_D01
SRR7335770	F2S4_151217_011_E01
SRR7335771	F2S4_151217_011_F01
SRR7335772	F2S4_151217_011_G01
SRR7335774	F2S4_151217_011_H01
SRR7334159	F2S4_151223_002_A01
SRR7334161	F2S4_151223_002_B01
SRR7334162	F2S4_151223_002_C01
SRR7334163	F2S4_151223_002_D01
SRR7334164	F2S4_151223_002_E01
SRR7334165	F2S4_151223_002_F01
SRR7334166	F2S4_151223_002_G01
SRR7334167	F2S4_151223_002_H01
SRR7334168	F2S4_151223_003_A01
SRR7334169	F2S4_151223_003_B01
SRR7334170	F2S4_151223_003_C01
SRR7334172	F2S4_151223_003_D01
SRR7334173	F2S4_151223_003_E01
SRR7334174	F2S4_151223_003_F01
SRR7334175	F2S4_151223_003_G01
SRR7334176	F2S4_151223_003_H01
SRR7323348	F0S4_150820_022_A01
SRR7324096	F0S4_150820_022_B01
SRR7323359	F0S4_150820_022_C01
SRR7324107	F0S4_150820_022_D01
SRR7321992	F0S4_150820_022_E01
SRR7322003	F0S4_150820_022_F01
SRR7322014	F0S4_150820_022_G01
SRR7322025	F0S4_150820_022_H01
SRR7334177	F2S4_151223_007_A01
SRR7334178	F2S4_151223_007_B01
SRR7334179	F2S4_151223_007_C01
SRR7334180	F2S4_151223_007_D01
SRR7334181	F2S4_151223_007_E01
SRR7334183	F2S4_151223_007_F01
SRR7334184	F2S4_151223_007_G01
SRR7334185	F2S4_151223_007_H01
SRR7334186	F2S4_151223_008_A01
SRR7334187	F2S4_151223_008_B01
SRR7334188	F2S4_151223_008_C01
SRR7334189	F2S4_151223_008_D01
SRR7334190	F2S4_151223_008_E01
SRR7334191	F2S4_151223_008_F01
SRR7334192	F2S4_151223_008_G01
SRR7334195	F2S4_151223_008_H01
SRR7334196	F2S4_151223_014_A01
SRR7334197	F2S4_151223_014_B01
SRR7334198	F2S4_151223_014_C01
SRR7334199	F2S4_151223_014_D01
SRR7334200	F2S4_151223_014_E01
SRR7334201	F2S4_151223_014_F01
SRR7334202	F2S4_151223_014_G01
SRR7334203	F2S4_151223_014_H01
SRR7335775	F2S4_160113_005_A01
SRR7335776	F2S4_160113_005_B01
SRR7335777	F2S4_160113_005_C01
SRR7335778	F2S4_160113_005_D01
SRR7335779	F2S4_160113_005_E01
SRR7335780	F2S4_160113_005_F01
SRR7335781	F2S4_160113_005_G01
SRR7335782	F2S4_160113_005_H01
SRR7335783	F2S4_160113_006_A01
SRR7335785	F2S4_160113_006_B01
SRR7335786	F2S4_160113_006_C01
SRR7335787	F2S4_160113_006_D01
SRR7335788	F2S4_160113_006_E01
SRR7335789	F2S4_160113_006_F01
SRR7335790	F2S4_160113_006_G01
SRR7335791	F2S4_160113_006_H01
SRR7335792	F2S4_160113_007_A01
SRR7335793	F2S4_160113_007_B01
SRR7335794	F2S4_160113_007_C01
SRR7335297	F2S4_160113_007_D01
SRR7335298	F2S4_160113_007_E01
SRR7335299	F2S4_160113_007_F01
SRR7335300	F2S4_160113_007_G01
SRR7335301	F2S4_160113_007_H01
SRR7335302	F2S4_160113_008_A01
SRR7335303	F2S4_160113_008_B01
SRR7335304	F2S4_160113_008_C01
SRR7335305	F2S4_160113_008_D01
SRR7335306	F2S4_160113_008_E01
SRR7335308	F2S4_160113_008_F01
SRR7335309	F2S4_160113_008_G01
SRR7335310	F2S4_160113_008_H01
SRR7335311	F2S4_160113_016_A01
SRR7335312	F2S4_160113_016_B01
SRR7335313	F2S4_160113_016_C01
SRR7335314	F2S4_160113_016_D01
SRR7335315	F2S4_160113_016_E01
SRR7335316	F2S4_160113_016_F01
SRR7335317	F2S4_160113_016_G01
SRR7335319	F2S4_160113_016_H01
SRR7335320	F2S4_160113_017_A01
SRR7335321	F2S4_160113_017_B01
SRR7335322	F2S4_160113_017_C01
SRR7335323	F2S4_160113_017_D01
SRR7335324	F2S4_160113_017_E01
SRR7335325	F2S4_160113_017_F01
SRR7335326	F2S4_160113_017_G01
SRR7335327	F2S4_160113_017_H01
SRR7335328	F2S4_160113_018_A01
SRR7335330	F2S4_160113_018_B01
SRR7335331	F2S4_160113_018_C01
SRR7335332	F2S4_160113_018_D01
SRR7335333	F2S4_160113_018_E01
SRR7335334	F2S4_160113_018_F01
SRR7335335	F2S4_160113_018_G01
SRR7335336	F2S4_160113_018_H01
SRR7335337	F2S4_160113_019_A01
SRR7335338	F2S4_160113_019_B01
SRR7335339	F2S4_160113_019_C01
SRR7335341	F2S4_160113_019_D01
SRR7335342	F2S4_160113_019_E01
SRR7335343	F2S4_160113_019_F01
SRR7335344	F2S4_160113_019_G01
SRR7335345	F2S4_160113_019_H01
SRR7323370	F0S4_150820_023_A01
SRR7324118	F0S4_150820_023_B01
SRR7322882	F0S4_150820_023_C01
SRR7323630	F0S4_150820_023_D01
SRR7322036	F0S4_150820_023_E01
SRR7322047	F0S4_150820_023_F01
SRR7322058	F0S4_150820_023_G01
SRR7322070	F0S4_150820_023_H01
SRR7335346	F2S4_160113_020_A01
SRR7335347	F2S4_160113_020_B01
SRR7335348	F2S4_160113_020_C01
SRR7335349	F2S4_160113_020_D01
SRR7335350	F2S4_160113_020_E01
SRR7335352	F2S4_160113_020_F01
SRR7335353	F2S4_160113_020_G01
SRR7335354	F2S4_160113_020_H01
SRR7335355	F2S4_160113_021_A01
SRR7335356	F2S4_160113_021_B01
SRR7335357	F2S4_160113_021_C01
SRR7335358	F2S4_160113_021_D01
SRR7335359	F2S4_160113_021_E01
SRR7335360	F2S4_160113_021_F01
SRR7335361	F2S4_160113_021_G01
SRR7335363	F2S4_160113_021_H01
SRR7335364	F2S4_160113_022_A01
SRR7335365	F2S4_160113_022_B01
SRR7335366	F2S4_160113_022_C01
SRR7335367	F2S4_160113_022_D01
SRR7335368	F2S4_160113_022_E01
SRR7335369	F2S4_160113_022_F01
SRR7335370	F2S4_160113_022_G01
SRR7335371	F2S4_160113_022_H01
SRR7326999	F2S4_160115_017_A01
SRR7327110	F2S4_160115_017_B01
SRR7327221	F2S4_160115_017_C01
SRR7327332	F2S4_160115_017_D01
SRR7327443	F2S4_160115_017_E01
SRR7327455	F2S4_160115_017_F01
SRR7327466	F2S4_160115_017_G01
SRR7327477	F2S4_160115_017_H01
SRR7327488	F2S4_160115_018_A01
SRR7327000	F2S4_160115_018_B01
SRR7327011	F2S4_160115_018_C01
SRR7327022	F2S4_160115_018_D01
SRR7327033	F2S4_160115_018_E01
SRR7327044	F2S4_160115_018_F01
SRR7327055	F2S4_160115_018_G01
SRR7327066	F2S4_160115_018_H01
SRR7327077	F2S4_160115_019_A01
SRR7327088	F2S4_160115_019_B01
SRR7327099	F2S4_160115_019_C01
SRR7327111	F2S4_160115_019_D01
SRR7327122	F2S4_160115_019_E01
SRR7327133	F2S4_160115_019_F01
SRR7327144	F2S4_160115_019_G01
SRR7327155	F2S4_160115_019_H01
SRR7327166	F2S4_160115_020_A01
SRR7327177	F2S4_160115_020_B01
SRR7327188	F2S4_160115_020_C01
SRR7327199	F2S4_160115_020_D01
SRR7327210	F2S4_160115_020_E01
SRR7327222	F2S4_160115_020_F01
SRR7327233	F2S4_160115_020_G01
SRR7327244	F2S4_160115_020_H01
SRR7327255	F2S4_160115_024_A01
SRR7327266	F2S4_160115_024_B01
SRR7327277	F2S4_160115_024_C01
SRR7327288	F2S4_160115_024_D01
SRR7327299	F2S4_160115_024_E01
SRR7327310	F2S4_160115_024_F01
SRR7327321	F2S4_160115_024_G01
SRR7327333	F2S4_160115_024_H01
SRR7327344	F2S4_160115_025_A01
SRR7327355	F2S4_160115_025_B01
SRR7327366	F2S4_160115_025_C01
SRR7327377	F2S4_160115_025_D01
SRR7327388	F2S4_160115_025_E01
SRR7327399	F2S4_160115_025_F01
SRR7327410	F2S4_160115_025_G01
SRR7327421	F2S4_160115_025_H01
SRR7327432	F2S4_160115_026_A01
SRR7327444	F2S4_160115_026_B01
SRR7327446	F2S4_160115_026_C01
SRR7327447	F2S4_160115_026_D01
SRR7327448	F2S4_160115_026_E01
SRR7327449	F2S4_160115_026_F01
SRR7327450	F2S4_160115_026_G01
SRR7327451	F2S4_160115_026_H01
SRR7327452	F2S4_160115_027_A01
SRR7327453	F2S4_160115_027_B01
SRR7327454	F2S4_160115_027_C01
SRR7327456	F2S4_160115_027_D01
SRR7327457	F2S4_160115_027_E01
SRR7327458	F2S4_160115_027_F01
SRR7327459	F2S4_160115_027_G01
SRR7327460	F2S4_160115_027_H01
SRR7322893	F0S4_150820_024_A01
SRR7323641	F0S4_150820_024_B01
SRR7322904	F0S4_150820_024_C01
