Cell	PCA_X	PCA_Y	t-SNE_X	t-SNE_Y	FIt-SNE_X	FIt-SNE_Y	UMAP_X	UMAP_Y
O117	25.014343458747245	7.047636265472702	17.940885543823242	-161.66354370117188	-10.87157629215384	-16.305600527091915	-2.1689023971557617	2.3137078285217285
O125	-8.770934689900258	-3.055279114476362	-90.95258331298828	72.99520111083984	-2.061093945537892	6.697853814717185	3.267474412918091	3.2158284187316895
O127	-16.68078335408151	-4.99468057622962	-27.20343780517578	67.78451538085938	4.200230438731215	5.370018099109055	2.691805124282837	3.60959529876709
O128	-8.79247805658377	-7.184654696088643	-33.34946823120117	18.9086856842041	2.856396734980024	9.400270886469947	3.0808606147766113	3.940166711807251
O129	-7.967988119366791	-3.119545502408884	-45.1651496887207	51.249229431152344	3.9151326158386683	3.706268775741371	1.9968161582946777	4.198827743530273
O130	-12.02568349967958	-4.473459457451277	-1.522401213645935	38.045623779296875	-0.22537145895252272	5.49529859098252	2.6062417030334473	2.7888543605804443
O131	30.236328470565006	-4.36298988488354	2.6065759658813477	-152.3852081298828	-9.48347512829644	-15.170239652085794	-2.1208434104919434	2.371023654937744
O132	-0.351340675971226	-8.641272012895515	2.4228951930999756	7.205816268920898	-0.6104502772945515	0.9326217242695206	1.5979859828948975	2.6001760959625244
O134	-9.907420725920252	1.2217321917065154	-41.6285400390625	34.486392974853516	3.9028829310144304	7.958117237595744	2.9989733695983887	4.260955333709717
O135	14.840110586486832	-6.611159939089668	35.482757568359375	-135.46437072753906	-5.960074951758195	-14.954091469343407	-1.2146004438400269	1.9633774757385254
O137	11.167095741366385	-5.082809108420167	23.083824157714844	-65.46356201171875	-2.3105887203183295	-8.947966367693708	-0.6101778745651245	3.0298242568969727
O141	-12.57749000886272	1.55474234928447	-58.89982986450195	103.3210220336914	8.744400078371786	8.199171987770852	2.675466299057007	4.40922737121582
O145	-2.552535455143632	-0.6639998716391868	-65.52133178710938	-46.38608932495117	4.687305230214575	-7.620607828696114	-0.028268827125430107	3.266242027282715
O147	-4.70634322064068	2.1785774609606516	22.06940269470215	-4.556021213531494	-2.5775518920355918	1.8021823488907691	1.2600631713867188	2.763901710510254
O149	-4.317699942741887	1.1235412849215236	28.355737686157227	8.050421714782715	-2.505729997428933	0.2428164637238434	0.8251126408576965	2.6951446533203125
O151	-10.8983752712887	-2.3304642019872537	-40.50129699707031	100.50617218017578	6.685738237563015	8.38078565510786	2.7609667778015137	4.8230814933776855
O159	24.899993862821074	-3.0625161353710713	10.079085350036621	-144.74542236328125	-8.990019729523478	-14.696088050681642	-1.9607030153274536	2.203441619873047
O160	-9.695904658490955	-1.6681022699646888	-59.56068801879883	47.76567459106445	3.4507748394560367	2.5089804831320066	2.2815375328063965	3.6107709407806396
O162	2.6104838579144176	4.973035636009324	3.2621774673461914	-39.19319152832031	-5.514232941099755	-5.200799504886479	-0.5446593165397644	3.638169050216675
O164	0.7483242299851212	2.947886182192631	43.584625244140625	-1.1024837493896484	-2.5982353609977897	-1.2241015494411773	0.7646641135215759	2.475527286529541
O165	4.109678597992078	9.53699063931716	20.725418090820312	22.973045349121094	0.42609323799027954	-1.9088523211634771	0.39576902985572815	3.085000991821289
O171	1.7205370428532123	6.350993366698793	-57.51630401611328	-51.55004119873047	4.3074309706079354	-7.667751101405035	-0.1576274335384369	3.1722724437713623
O427	3.3594580687651905	-0.16394526581684463	-19.714008331298828	-58.76136016845703	-0.0761920847113626	-6.525565197448418	1.535462498664856	4.133427619934082
O430	-9.678189278291448	-0.593884486982645	24.314300537109375	56.62923049926758	3.6732354855130347	0.1139678624620635	1.8197569847106934	3.391258478164673
O433	14.145135992974474	0.30804829387181354	-14.090816497802734	-90.79695129394531	-3.1846469709306287	-11.91859118863936	-0.9661274552345276	2.443713426589966
O434	-1.041640327313615	7.608739238078611	39.98887634277344	17.13017463684082	-3.7816625492024847	-0.3419622834296283	1.0086212158203125	3.0062668323516846
O435	6.743053653512713	-3.072824587993337	28.34210777282715	-45.676734924316406	-4.514651861617112	-9.29239547680362	-0.8115763664245605	2.743886709213257
O439	9.529765531569662	-2.268124251814763	-8.208600997924805	-30.73894691467285	-7.201230743984586	-5.27858485094938	-0.5588893890380859	3.6840837001800537
O440	4.588459218758237	1.2136271640578868	10.194501876831055	-60.51552200317383	-3.263963382153521	-7.738667796430895	-0.7565739750862122	3.170121192932129
O454	-0.446576521082177	10.637169868049929	8.900052070617676	78.85370635986328	8.112194107740773	3.733923088112445	2.346135139465332	4.609954833984375
