Cell	PCA_X	PCA_Y	t-SNE_X	t-SNE_Y	FIt-SNE_X	FIt-SNE_Y	UMAP_X	UMAP_Y	nbt-SNE_X	nbt-SNE_Y
O49	13.75967363902909	37.359331380664905	70.75446319580078	-93.04635620117188	-4.779089690639522	12.606059743092255	-3.021394968032837	3.9019954204559326	152.0318	56.63435
O52	16.931767588781852	2.0461707497005097	2.5756642818450928	70.46895599365234	-5.753202610138338	-6.37365213122197	-2.1599555015563965	0.7248516082763672	-53.57185	-26.471090000000004
O54	50.12221562493825	-5.200830015456998	-124.08393859863281	65.07568359375	3.9590413614424915	-14.214136819516506	-2.8661136627197266	-1.7387902736663818	160.653	86.53134
O55	45.83786483759481	-2.609729144649082	-129.71461486816406	79.38919067382812	2.7115848119451567	-15.082376730582615	-3.038144111633301	-1.858150601387024	110.1614	148.4049
O56	-13.951761430815376	11.207375752074967	35.973785400390625	-19.903078079223633	1.7049811061237994	6.331702206914483	-1.9626245498657227	3.163729667663574	-28.749809999999997	-112.4241
O58	1.1636841787720669	7.283189556037923	94.29491424560547	-23.727291107177734	-7.986034546318667	2.434708190788948	-3.427825927734375	2.085970878601074	-7.244916	54.543730000000004
O60	36.55235692606309	6.577778588198618	-99.44564819335938	103.38038635253906	-0.7938468892275786	-13.200997223195703	-2.968599319458008	-1.0202178955078125	195.417	116.8797
O61	20.751586266033616	3.3594355810944196	4.4697113037109375	83.07243347167969	-6.562373450357563	-7.193636647494554	-2.008928060531616	0.7898610234260559	70.98389	-156.793
O62	-15.244185207764591	7.026126932949184	40.95046615600586	-63.65911865234375	-2.3863711107244567	8.449453081231816	-2.803311347961426	2.876549243927002	87.67194	-25.231170000000002
O65	0.057728011431293226	-20.48989601166494	-69.04356384277344	54.37255859375	5.2202714370865655	-7.7169406396628215	-2.1932945251464844	-1.0702228546142578	-136.6485	-77.42307
O66	-5.341122918726351	-7.460104046977931	-7.289135456085205	39.19582748413086	6.837824528052309	-0.4360900641332597	-1.4676158428192139	0.16223222017288208	10.25838	-152.9505
O71	3.6764983823422357	-17.175497813853266	-32.605682373046875	65.5413818359375	7.801296889002159	-4.191670794515232	-1.3120393753051758	-0.8536686897277832	-118.2115	-142.0442
O73	-11.949696423235963	12.004594689085458	47.67117691040039	-81.05398559570312	-2.5240151789182104	10.493590562829647	-2.948591470718384	3.1970138549804688	82.0312	18.23594
O76	30.97984161539775	47.221613468690826	81.73613739013672	-107.81947326660156	-5.545663040704804	14.417730578661494	-3.21795392036438	4.023538589477539	107.962	-138.4045
O78	-19.791200697083937	4.517858806394807	41.28569030761719	6.948655128479004	4.459836032132851	6.025449999355563	-1.3904845714569092	2.6555891036987305	-51.07763	-182.9816
O80	-12.647583297312549	6.8744521411183745	26.88024139404297	-80.62535095214844	-4.506675975326526	7.006985217595495	-3.1818907260894775	2.644735336303711	-121.683	52.407740000000004
O87	11.156959890832246	29.64745484744363	25.85965919494629	-47.736446380615234	-2.1109541382883394	6.23738331528013	-2.761139392852783	2.6315088272094727	123.4768	3.030523
O89	-16.560681530630188	8.245549097162032	67.02622985839844	-67.7332763671875	-5.469627363335974	9.890977019338179	-3.2928099632263184	2.9997904300689697	-79.50367	145.036
O90	-7.031607676823804	-1.0970901722268276	-0.07055331021547318	-15.29552936553955	-2.2186866515104557	-0.917082352969489	-2.1375110149383545	1.6344881057739258	-144.3523	66.59543000000001
O100	-3.185789281431191	-16.62409731500802	-68.91576385498047	15.6774263381958	-0.9778996484502726	-6.436493649512766	-2.67814302444458	-0.5971177220344543	-138.3072	120.1009
O102	-15.717350047152596	6.7684413530916325	39.81772994995117	-53.14839172363281	-1.9478971953306248	7.823934885152278	-2.643373966217041	2.639293670654297	-118.8923	-40.99082
O103	-13.418339576952068	3.5828271199326	21.102693557739258	-71.33424377441406	-5.301792590225256	7.25273932388503	-3.2955210208892822	2.7509942054748535	-86.06997	96.60392
O104	-13.538214328309484	-1.4068799160364214	33.74314880371094	23.99109649658203	5.9295010910449335	4.400210651209518	-1.5712476968765259	2.383226156234741	-59.34966	-69.22053000000001
